Year,Province,Units,Value
2013,,PT,0.01
2010,,PT,0.07
2017,,PT,0.02
2012,,PT,0.0
2022,,PT,0.0
2018,,PT,0.01
2014,,PT,0.03
2011,,PT,0.09
2019,,PT,0.01
2021,,PT,0.02
2016,,PT,0.01
2020,,PT,0.0
2015,,PT,0.02
2015,Araba/Álava,PT,0.01
2016,Araba/Álava,PT,0.0
2013,Araba/Álava,PT,0.01
2019,Araba/Álava,PT,0.01
2010,Araba/Álava,PT,0.09
2017,Araba/Álava,PT,0.06
2014,Araba/Álava,PT,0.0
2018,Araba/Álava,PT,0.01
2020,Araba/Álava,PT,0.0
2022,Araba/Álava,PT,0.0
2011,Araba/Álava,PT,0.0
2021,Araba/Álava,PT,0.02
2012,Araba/Álava,PT,0.0
2011,Bizkaia,PT,0.04
2015,Bizkaia,PT,0.02
2017,Bizkaia,PT,0.01
2018,Bizkaia,PT,0.01
2019,Bizkaia,PT,0.01
2021,Bizkaia,PT,0.02
2022,Bizkaia,PT,0.0
2010,Bizkaia,PT,0.08
2012,Bizkaia,PT,0.0
2013,Bizkaia,PT,0.01
2014,Bizkaia,PT,0.03
2020,Bizkaia,PT,0.0
2016,Bizkaia,PT,0.0
2020,Gipuzkoa,PT,0.01
2021,Gipuzkoa,PT,0.02
2022,Gipuzkoa,PT,0.0
2010,Gipuzkoa,PT,0.04
2011,Gipuzkoa,PT,0.23
2012,Gipuzkoa,PT,0.0
2013,Gipuzkoa,PT,0.02
2014,Gipuzkoa,PT,0.06
2015,Gipuzkoa,PT,0.02
2016,Gipuzkoa,PT,0.01
2017,Gipuzkoa,PT,0.03
2018,Gipuzkoa,PT,0.0
2019,Gipuzkoa,PT,0.01
