Year,Series,Waste treatment operation,Province,Units,Value
2013,Urban waste collected per capita,,Araba/Álava,Kg per capita,386.8
2021,Urban waste collected per capita,,Araba/Álava,Kg per capita,404.1
2024,Urban waste collected per capita,,Araba/Álava,Kg per capita,394.8
2015,Urban waste collected per capita,,Araba/Álava,Kg per capita,413.6
2010,Urban waste collected per capita,,Araba/Álava,Kg per capita,463.9
2016,Urban waste collected per capita,,Araba/Álava,Kg per capita,411.2
2019,Urban waste collected per capita,,Araba/Álava,Kg per capita,429.5
2020,Urban waste collected per capita,,Araba/Álava,Kg per capita,411.1
2012,Urban waste collected per capita,,Araba/Álava,Kg per capita,411.8
2018,Urban waste collected per capita,,Araba/Álava,Kg per capita,440.6
2022,Urban waste collected per capita,,Araba/Álava,Kg per capita,400.1
2014,Urban waste collected per capita,,Araba/Álava,Kg per capita,397.7
2011,Urban waste collected per capita,,Araba/Álava,Kg per capita,442.7
2011,Urban waste collected per capita,,Bizkaia,Kg per capita,490.8
2021,Urban waste collected per capita,,Bizkaia,Kg per capita,479.3
2018,Urban waste collected per capita,,Bizkaia,Kg per capita,486.4
2017,Urban waste collected per capita,,Bizkaia,Kg per capita,478.4
2014,Urban waste collected per capita,,Bizkaia,Kg per capita,460.8
2019,Urban waste collected per capita,,Bizkaia,Kg per capita,496.4
2024,Urban waste collected per capita,,Bizkaia,Kg per capita,442.3
2012,Urban waste collected per capita,,Bizkaia,Kg per capita,475.8
2020,Urban waste collected per capita,,Bizkaia,Kg per capita,474.2
2015,Urban waste collected per capita,,Bizkaia,Kg per capita,449.4
2022,Urban waste collected per capita,,Bizkaia,Kg per capita,471.8
2010,Urban waste collected per capita,,Bizkaia,Kg per capita,504.0
2013,Urban waste collected per capita,,Bizkaia,Kg per capita,466.2
2016,Urban waste collected per capita,,Bizkaia,Kg per capita,464.3
2023,Urban waste collected per capita,,Bizkaia,Kg per capita,432.8
2024,Urban waste collected per capita,,Gipuzkoa,Kg per capita,439.3
2020,Urban waste collected per capita,,Gipuzkoa,Kg per capita,430.8
2021,Urban waste collected per capita,,Gipuzkoa,Kg per capita,447.9
