Year,Value,Units,Series
2020,1817.6,Bidaiariak milaka,Airez garraiatutako bidaiariak
2012,4458.2,Bidaiariak milaka,Airez garraiatutako bidaiariak
2011,4322.4,Bidaiariak milaka,Airez garraiatutako bidaiariak
2022,5748.5,Bidaiariak milaka,Airez garraiatutako bidaiariak
2025,7842.5,Bidaiariak milaka,Airez garraiatutako bidaiariak
2024,7528.0,Bidaiariak milaka,Airez garraiatutako bidaiariak
2016,4889.7,Bidaiariak milaka,Airez garraiatutako bidaiariak
2023,7129.0,Bidaiariak milaka,Airez garraiatutako bidaiariak
2015,4544.0,Bidaiariak milaka,Airez garraiatutako bidaiariak
2019,6400.3,Bidaiariak milaka,Airez garraiatutako bidaiariak
2021,2864.8,Bidaiariak milaka,Airez garraiatutako bidaiariak
2018,5899.7,Bidaiariak milaka,Airez garraiatutako bidaiariak
2017,5339.9,Bidaiariak milaka,Airez garraiatutako bidaiariak
2010,4217.1,Bidaiariak milaka,Airez garraiatutako bidaiariak
2013,4052.7,Bidaiariak milaka,Airez garraiatutako bidaiariak
2014,4267.8,Bidaiariak milaka,Airez garraiatutako bidaiariak
2022,74.3,Kilotonak,Airez garraiatutako salgaiak
2019,65.5,Kilotonak,Airez garraiatutako salgaiak
2014,45.0,Kilotonak,Airez garraiatutako salgaiak
2015,49.2,Kilotonak,Airez garraiatutako salgaiak
2016,55.1,Kilotonak,Airez garraiatutako salgaiak
2017,62.4,Kilotonak,Airez garraiatutako salgaiak
2010,30.5,Kilotonak,Airez garraiatutako salgaiak
2020,64.7,Kilotonak,Airez garraiatutako salgaiak
2012,36.9,Kilotonak,Airez garraiatutako salgaiak
2024,71.4,Kilotonak,Airez garraiatutako salgaiak
2021,73.0,Kilotonak,Airez garraiatutako salgaiak
2011,37.4,Kilotonak,Airez garraiatutako salgaiak
2013,40.0,Kilotonak,Airez garraiatutako salgaiak
2018,63.4,Kilotonak,Airez garraiatutako salgaiak
2025,70.2,Kilotonak,Airez garraiatutako salgaiak
2023,72.4,Kilotonak,Airez garraiatutako salgaiak
