Year,Value,Units,Series
2017,8.3,PER_100000_POP,SH_STA_SCIDE
2013,8.2,PER_100000_POP,SH_STA_SCIDE
2010,6.0,PER_100000_POP,SH_STA_SCIDE
2018,7.5,PER_100000_POP,SH_STA_SCIDE
2011,7.9,PER_100000_POP,SH_STA_SCIDE
2020,8.4,PER_100000_POP,SH_STA_SCIDE
2019,6.6,PER_100000_POP,SH_STA_SCIDE
2015,7.7,PER_100000_POP,SH_STA_SCIDE
2012,8.3,PER_100000_POP,SH_STA_SCIDE
2023,6.4,PER_100000_POP,SH_STA_SCIDE
2021,6.8,PER_100000_POP,SH_STA_SCIDE
2022,7.9,PER_100000_POP,SH_STA_SCIDE
2014,8.6,PER_100000_POP,SH_STA_SCIDE
2016,8.3,PER_100000_POP,SH_STA_SCIDE
