Year,Value,Units,Series
2015,36.4,%,Birziklatutako hiri-hondakinen proportzioa
2016,38.0,%,Birziklatutako hiri-hondakinen proportzioa
2019,44.7,%,Birziklatutako hiri-hondakinen proportzioa
2013,28.2,%,Birziklatutako hiri-hondakinen proportzioa
2018,41.5,%,Birziklatutako hiri-hondakinen proportzioa
2010,24.7,%,Birziklatutako hiri-hondakinen proportzioa
2020,47.2,%,Birziklatutako hiri-hondakinen proportzioa
2011,25.6,%,Birziklatutako hiri-hondakinen proportzioa
2014,33.3,%,Birziklatutako hiri-hondakinen proportzioa
2017,39.3,%,Birziklatutako hiri-hondakinen proportzioa
2012,28.5,%,Birziklatutako hiri-hondakinen proportzioa
