Year,Value,Units,Series
2012,2.1,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2014,1.9,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2022,2.1,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2011,2.0,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2010,2.0,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2013,2.0,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2017,1.8,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2021,2.1,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2020,2.1,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2016,1.8,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2015,1.9,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2018,1.9,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
2019,1.9,%,"Ikerketa eta garapeneko gastuak, BPGrekiko proportzioan"
