Year,Value,Units
2010,1,"Logikoa (1 = Bai, -1 = Ez)"
2011,1,"Logikoa (1 = Bai, -1 = Ez)"
2012,1,"Logikoa (1 = Bai, -1 = Ez)"
2013,1,"Logikoa (1 = Bai, -1 = Ez)"
2014,1,"Logikoa (1 = Bai, -1 = Ez)"
2015,1,"Logikoa (1 = Bai, -1 = Ez)"
2016,1,"Logikoa (1 = Bai, -1 = Ez)"
2017,1,"Logikoa (1 = Bai, -1 = Ez)"
2018,1,"Logikoa (1 = Bai, -1 = Ez)"
2019,1,"Logikoa (1 = Bai, -1 = Ez)"
2020,1,"Logikoa (1 = Bai, -1 = Ez)"
2021,1,"Logikoa (1 = Bai, -1 = Ez)"
2022,1,"Logikoa (1 = Bai, -1 = Ez)"
2023,1,"Logikoa (1 = Bai, -1 = Ez)"
2024,1,"Logikoa (1 = Bai, -1 = Ez)"
