Year,Sex,Province,Units,Value
2023,,,PT,69.7
2017,,,PT,76.0
2020,,,PT,71.8
2019,,,PT,69.5
2014,,,PT,76.4
2018,,,PT,64.0
2022,,,PT,69.2
2020,,Araba/Álava,PT,73.7
2018,,Araba/Álava,PT,64.3
2019,,Araba/Álava,PT,69.6
2017,,Araba/Álava,PT,75.2
2023,,Araba/Álava,PT,72.5
2014,,Araba/Álava,PT,76.3
2022,,Araba/Álava,PT,68.1
2023,,Bizkaia,PT,68.0
2017,,Bizkaia,PT,73.9
2020,,Bizkaia,PT,69.8
2019,,Bizkaia,PT,67.9
2014,,Bizkaia,PT,75.3
2022,,Bizkaia,PT,66.5
2018,,Bizkaia,PT,61.8
2019,,Gipuzkoa,PT,72.0
2022,,Gipuzkoa,PT,74.0
2023,,Gipuzkoa,PT,71.2
2018,,Gipuzkoa,PT,67.4
2020,,Gipuzkoa,PT,74.3
2017,,Gipuzkoa,PT,79.8
2014,,Gipuzkoa,PT,78.3
2023,Female,,PT,57.0
2019,Female,,PT,55.4
2014,Female,,PT,65.6
2018,Female,,PT,50.6
2022,Female,,PT,55.4
2017,Female,,PT,63.8
2020,Female,,PT,60.2
2020,Female,Araba/Álava,PT,62.0
2014,Female,Araba/Álava,PT,66.1
2022,Female,Araba/Álava,PT,54.6
2019,Female,Araba/Álava,PT,56.8
2017,Female,Araba/Álava,PT,62.5
2018,Female,Araba/Álava,PT,53.7
2023,Female,Araba/Álava,PT,58.6
2019,Female,Bizkaia,PT,53.6
2023,Female,Bizkaia,PT,56.1
2022,Female,Bizkaia,PT,53.0
2017,Female,Bizkaia,PT,60.6
2018,Female,Bizkaia,PT,48.4
2020,Female,Bizkaia,PT,58.0
2014,Female,Bizkaia,PT,65.1
2023,Female,Gipuzkoa,PT,57.7
2022,Female,Gipuzkoa,PT,59.9
2020,Female,Gipuzkoa,PT,62.9
2019,Female,Gipuzkoa,PT,57.6
2018,Female,Gipuzkoa,PT,52.7
2017,Female,Gipuzkoa,PT,69.5
2014,Female,Gipuzkoa,PT,66.3
2023,Male,,PT,83.6
2014,Male,,PT,87.9
2022,Male,,PT,84.1
2019,Male,,PT,84.7
2018,Male,,PT,78.5
2020,Male,,PT,84.5
2017,Male,,PT,89.2
2023,Male,Araba/Álava,PT,87.2
2018,Male,Araba/Álava,PT,75.5
2017,Male,Araba/Álava,PT,88.5
2022,Male,Araba/Álava,PT,82.2
2020,Male,Araba/Álava,PT,86.0
2019,Male,Araba/Álava,PT,83.2
2014,Male,Araba/Álava,PT,86.8
2023,Male,Bizkaia,PT,81.2
2022,Male,Bizkaia,PT,81.6
2020,Male,Bizkaia,PT,82.7
2019,Male,Bizkaia,PT,83.5
2018,Male,Bizkaia,PT,76.5
2017,Male,Bizkaia,PT,88.6
2014,Male,Bizkaia,PT,86.4
2020,Male,Gipuzkoa,PT,86.5
2019,Male,Gipuzkoa,PT,87.3
2018,Male,Gipuzkoa,PT,83.0
2017,Male,Gipuzkoa,PT,90.7
2014,Male,Gipuzkoa,PT,90.9
2023,Male,Gipuzkoa,PT,85.6
2022,Male,Gipuzkoa,PT,88.7
