Year,Series,Territorio histórico,Units,Value
2018,Productividad de los pequeños productores de alimentos,,Euros constantes,12030.9
2020,Productividad de los pequeños productores de alimentos,,Euros constantes,9818.3
2019,Productividad de los pequeños productores de alimentos,,Euros constantes,10646.1
2016,Productividad de los pequeños productores de alimentos,,Euros constantes,10978.5
2015,Productividad de los pequeños productores de alimentos,,Euros constantes,10150.0
2017,Productividad de los pequeños productores de alimentos,,Euros constantes,12294.5
2021,Productividad de los pequeños productores de alimentos,,Euros constantes,10509.0
2016,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros constantes,4537.4
2021,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros constantes,5528.7
2017,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros constantes,5057.9
2019,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros constantes,6400.4
2020,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros constantes,5071.3
2018,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros constantes,5442.0
2015,Productividad de los pequeños productores de alimentos,Araba/Álava,Euros constantes,4172.9
2018,Productividad de los pequeños productores de alimentos,Bizkaia,Euros constantes,10550.5
2015,Productividad de los pequeños productores de alimentos,Bizkaia,Euros constantes,10831.9
2017,Productividad de los pequeños productores de alimentos,Bizkaia,Euros constantes,11225.2
2019,Productividad de los pequeños productores de alimentos,Bizkaia,Euros constantes,9738.4
2016,Productividad de los pequeños productores de alimentos,Bizkaia,Euros constantes,10140.6
2021,Productividad de los pequeños productores de alimentos,Bizkaia,Euros constantes,9670.7
2020,Productividad de los pequeños productores de alimentos,Bizkaia,Euros constantes,9413.9
2015,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros constantes,11666.0
2021,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros constantes,12048.2
2018,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros constantes,13733.6
2020,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros constantes,11080.9
2017,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros constantes,13878.5
2019,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros constantes,11900.8
2016,Productividad de los pequeños productores de alimentos,Gipuzkoa,Euros constantes,12569.2
2018,Productividad de los grandes productores de alimentos,,Euros constantes,44914.3
2015,Productividad de los grandes productores de alimentos,,Euros constantes,43924.4
2019,Productividad de los grandes productores de alimentos,,Euros constantes,46168.5
2020,Productividad de los grandes productores de alimentos,,Euros constantes,45942.5
2021,Productividad de los grandes productores de alimentos,,Euros constantes,50293.1
2017,Productividad de los grandes productores de alimentos,,Euros constantes,42600.2
2016,Productividad de los grandes productores de alimentos,,Euros constantes,43308.1
2016,Productividad de los grandes productores de alimentos,Araba/Álava,Euros constantes,36918.9
2015,Productividad de los grandes productores de alimentos,Araba/Álava,Euros constantes,39222.8
2020,Productividad de los grandes productores de alimentos,Araba/Álava,Euros constantes,40460.4
2018,Productividad de los grandes productores de alimentos,Araba/Álava,Euros constantes,36631.3
2017,Productividad de los grandes productores de alimentos,Araba/Álava,Euros constantes,33711.7
2019,Productividad de los grandes productores de alimentos,Araba/Álava,Euros constantes,37348.9
2021,Productividad de los grandes productores de alimentos,Araba/Álava,Euros constantes,41426.0
2021,Productividad de los grandes productores de alimentos,Bizkaia,Euros constantes,52025.6
2020,Productividad de los grandes productores de alimentos,Bizkaia,Euros constantes,50356.7
2018,Productividad de los grandes productores de alimentos,Bizkaia,Euros constantes,49326.0
2015,Productividad de los grandes productores de alimentos,Bizkaia,Euros constantes,43917.9
2017,Productividad de los grandes productores de alimentos,Bizkaia,Euros constantes,44660.2
2016,Productividad de los grandes productores de alimentos,Bizkaia,Euros constantes,43852.2
2019,Productividad de los grandes productores de alimentos,Bizkaia,Euros constantes,52252.4
2021,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros constantes,54538.2
2015,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros constantes,46579.9
2019,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros constantes,49106.7
2018,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros constantes,48274.0
2017,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros constantes,47269.8
2016,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros constantes,46975.4
2020,Productividad de los grandes productores de alimentos,Gipuzkoa,Euros constantes,47324.6
