Year,Series,Sex,Province,Units,Value
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,,"Per 100,000",31.3
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,,"Per 100,000",29.0
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,,"Per 100,000",27.2
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,,"Per 100,000",39.5
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,,"Per 100,000",29.9
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,,"Per 100,000",30.0
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,,"Per 100,000",27.8
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,,"Per 100,000",41.1
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,,"Per 100,000",37.1
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Araba/Álava,"Per 100,000",26.3
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Araba/Álava,"Per 100,000",34.8
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Araba/Álava,"Per 100,000",26.9
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Araba/Álava,"Per 100,000",23.0
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Araba/Álava,"Per 100,000",21.0
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Araba/Álava,"Per 100,000",35.5
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Araba/Álava,"Per 100,000",31.4
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Araba/Álava,"Per 100,000",23.7
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Araba/Álava,"Per 100,000",23.9
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Bizkaia,"Per 100,000",36.2
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Bizkaia,"Per 100,000",35.4
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Bizkaia,"Per 100,000",46.1
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Bizkaia,"Per 100,000",45.5
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Bizkaia,"Per 100,000",33.2
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Bizkaia,"Per 100,000",43.5
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Bizkaia,"Per 100,000",36.7
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Bizkaia,"Per 100,000",36.2
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Bizkaia,"Per 100,000",34.6
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Gipuzkoa,"Per 100,000",25.6
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Gipuzkoa,"Per 100,000",31.9
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Gipuzkoa,"Per 100,000",29.3
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Gipuzkoa,"Per 100,000",21.0
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Gipuzkoa,"Per 100,000",35.5
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Gipuzkoa,"Per 100,000",22.5
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Gipuzkoa,"Per 100,000",20.2
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Gipuzkoa,"Per 100,000",21.1
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",,Gipuzkoa,"Per 100,000",18.7
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,,"Per 100,000",26.5
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,,"Per 100,000",29.0
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,,"Per 100,000",29.3
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,,"Per 100,000",28.6
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,,"Per 100,000",40.3
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,,"Per 100,000",38.9
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,,"Per 100,000",27.3
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,,"Per 100,000",30.7
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,,"Per 100,000",36.5
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Araba/Álava,"Per 100,000",34.6
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Araba/Álava,"Per 100,000",25.8
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Araba/Álava,"Per 100,000",30.8
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Araba/Álava,"Per 100,000",23.6
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Araba/Álava,"Per 100,000",23.2
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Araba/Álava,"Per 100,000",20.3
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Araba/Álava,"Per 100,000",34.0
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Araba/Álava,"Per 100,000",26.1
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Araba/Álava,"Per 100,000",22.3
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",34.8
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",35.5
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",44.7
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",35.4
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",42.7
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",45.3
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",35.5
