Year,Series,Units,Value
2011,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,573.0
2014,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,870.0
2017,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,1081.0
2020,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,1259.46
2010,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,422.54
2022,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,1464.9
2015,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,944.0
2016,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,993.0
2021,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,1406.46
2018,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,1157.0
2012,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,660.0
2019,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,1215.46
2013,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua),Hektareak,783.0
2010,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,5.01
2011,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,6.47
2012,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,7.15
2013,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,8.35
2014,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,9.24
2015,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,10.0
2016,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,10.91
2017,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,11.37
2018,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,12.61
2019,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,13.19
2020,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,13.99
2021,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,14.58
2022,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua),%,16.07
