Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2024,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Aizarnazabal,%,Aizarnazabal,100.0
2016,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Aizarnazabal,%,Aizarnazabal,100.0
2013,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,0.0
2020,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,100.0
2019,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,100.0
2017,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,100.0
2010,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,0.0
2016,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,0.0
2023,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,100.0
2011,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,0.0
2014,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,0.0
2015,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,0.0
2022,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,100.0
2012,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,0.0
2021,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,100.0
2018,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,100.0
2024,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Ajangiz,%,Ajangiz,100.0
2014,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,0.0
2017,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,0.0
2020,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,0.0
2022,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,100.0
2018,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,0.0
2023,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,100.0
2016,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,0.0
2010,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,0.0
2015,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,0.0
2024,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,100.0
2012,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,0.0
2011,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,0.0
2019,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,0.0
2021,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,100.0
2013,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Albiztur,%,Albiztur,0.0
2020,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,0.0
2015,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,0.0
2021,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,100.0
2012,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,0.0
2013,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,0.0
2011,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,0.0
2014,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,0.0
2018,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,0.0
2024,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,100.0
2023,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,100.0
2010,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,0.0
2019,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,0.0
2022,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,100.0
2016,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,0.0
2017,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegia,%,Alegia,0.0
2022,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2018,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2017,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2021,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2011,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2012,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2014,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2020,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2013,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2015,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2016,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2024,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2023,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2010,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2019,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2014,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,0.0
2023,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,100.0
2017,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,0.0
2019,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,0.0
2021,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,100.0
2020,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,0.0
2018,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,0.0
2011,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,0.0
2012,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,0.0
2015,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,0.0
2010,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,0.0
2022,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,100.0
2024,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,100.0
2013,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,0.0
2016,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alkiza,%,Alkiza,0.0
2016,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2022,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2024,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2020,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2019,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2014,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2012,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2021,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2018,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2011,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2023,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2017,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2013,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2015,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2010,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Alonsotegi,%,Alonsotegi,100.0
2013,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Altzaga,%,Altzaga,100.0
2018,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Altzaga,%,Altzaga,100.0
2021,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Altzaga,%,Altzaga,100.0
2022,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Altzaga,%,Altzaga,100.0
2014,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Altzaga,%,Altzaga,100.0
2019,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Altzaga,%,Altzaga,100.0
2016,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Altzaga,%,Altzaga,100.0
2017,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Altzaga,%,Altzaga,100.0
2023,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Altzaga,%,Altzaga,100.0
2010,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Altzaga,%,Altzaga,100.0
