Year,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2022,,,,,%,,96.8
2021,,,,,%,,99.7
2023,,,,,%,,100.0
2021,,,,Abadiño,%,Abadiño,100.0
2022,,,,Abadiño,%,Abadiño,97.3
2023,,,,Abadiño,%,Abadiño,100.0
2023,,,,Abaltzisketa,%,Abaltzisketa,100.0
2022,,,,Abaltzisketa,%,Abaltzisketa,100.0
2023,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2021,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2022,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,95.7
2021,,,,Aduna,%,Aduna,100.0
2022,,,,Aduna,%,Aduna,100.0
2023,,,,Aduna,%,Aduna,100.0
2023,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,100.0
2021,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,100.0
2022,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,93.8
2021,,,,Aia,%,Aia,100.0
2023,,,,Aia,%,Aia,100.0
2022,,,,Aia,%,Aia,95.8
2023,,,,Aizarnazabal,%,Aizarnazabal,100.0
2021,,,,Aizarnazabal,%,Aizarnazabal,100.0
2022,,,,Aizarnazabal,%,Aizarnazabal,100.0
2021,,,,Ajangiz,%,Ajangiz,100.0
2023,,,,Ajangiz,%,Ajangiz,100.0
2022,,,,Ajangiz,%,Ajangiz,100.0
2021,,,,Albiztur,%,Albiztur,100.0
2023,,,,Albiztur,%,Albiztur,100.0
2022,,,,Albiztur,%,Albiztur,100.0
2021,,,,Alegia,%,Alegia,100.0
2022,,,,Alegia,%,Alegia,100.0
2023,,,,Alegia,%,Alegia,100.0
2021,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2023,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2022,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,97.2
2021,,,,Alkiza,%,Alkiza,100.0
2023,,,,Alkiza,%,Alkiza,100.0
2022,,,,Alkiza,%,Alkiza,100.0
2021,,,,Alonsotegi,%,Alonsotegi,100.0
2022,,,,Alonsotegi,%,Alonsotegi,100.0
2023,,,,Alonsotegi,%,Alonsotegi,100.0
2023,,,,Altzaga,%,Altzaga,100.0
2022,,,,Altzaga,%,Altzaga,100.0
2021,,,,Altzaga,%,Altzaga,100.0
2022,,,,Altzo,%,Altzo,100.0
2021,,,,Altzo,%,Altzo,100.0
2023,,,,Altzo,%,Altzo,100.0
2022,,,,Amezketa,%,Amezketa,100.0
2021,,,,Amezketa,%,Amezketa,100.0
2023,,,,Amezketa,%,Amezketa,100.0
2021,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,100.0
2022,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,97.5
2023,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,100.0
2023,,,,Amoroto,%,Amoroto,100.0
2022,,,,Amoroto,%,Amoroto,100.0
2023,,,,Amurrio,%,Amurrio,100.0
2022,,,,Amurrio,%,Amurrio,100.0
2021,,,,Amurrio,%,Amurrio,100.0
2022,,,,Andoain,%,Andoain,96.8
2023,,,,Andoain,%,Andoain,100.0
2021,,,,Andoain,%,Andoain,100.0
2022,,,,Anoeta,%,Anoeta,100.0
2023,,,,Anoeta,%,Anoeta,100.0
2021,,,,Anoeta,%,Anoeta,100.0
2021,,,,Antzuola,%,Antzuola,100.0
2022,,,,Antzuola,%,Antzuola,100.0
2023,,,,Antzuola,%,Antzuola,100.0
2022,,,,Añana,%,Añana,100.0
2022,,,,Arakaldo,%,Arakaldo,100.0
2023,,,,Arakaldo,%,Arakaldo,100.0
2021,,,,Arakaldo,%,Arakaldo,100.0
2021,,,,Arama,%,Arama,100.0
2023,,,,Arama,%,Arama,100.0
2022,,,,Arama,%,Arama,100.0
2023,,,,Aramaio,%,Aramaio,100.0
2022,,,,Aramaio,%,Aramaio,100.0
2021,,,,Aramaio,%,Aramaio,100.0
2023,,,,Arantzazu,%,Arantzazu,100.0
2022,,,,Arantzazu,%,Arantzazu,100.0
2021,,,,Arantzazu,%,Arantzazu,100.0
2023,,,,Areatza,%,Areatza,100.0
2021,,,,Areatza,%,Areatza,100.0
2022,,,,Areatza,%,Areatza,100.0
2023,,,,Aretxabaleta,%,Aretxabaleta,100.0
2022,,,,Aretxabaleta,%,Aretxabaleta,100.0
2021,,,,Aretxabaleta,%,Aretxabaleta,98.6
2023,,,,Armiñón,%,Armiñón,100.0
2021,,,,Armiñón,%,Armiñón,100.0
2022,,,,Armiñón,%,Armiñón,100.0
2023,,,,Arraia-Maeztu,%,Arraia-Maeztu,100.0
2022,,,,Arraia-Maeztu,%,Arraia-Maeztu,100.0
2021,,,,Arraia-Maeztu,%,Arraia-Maeztu,100.0
2022,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,100.0
2023,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,100.0
2021,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,100.0
2021,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,99.5
2023,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,100.0
2022,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,97.2
2021,,,,Arratzu,%,Arratzu,100.0
2023,,,,Arratzu,%,Arratzu,100.0
2022,,,,Arratzu,%,Arratzu,100.0
2023,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,100.0
2022,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,100.0
2021,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,100.0
2021,,,,Arrieta,%,Arrieta,100.0
2023,,,,Arrieta,%,Arrieta,100.0
2022,,,,Arrieta,%,Arrieta,100.0
2022,,,,Arrigorriaga,%,Arrigorriaga,95.3
2023,,,,Arrigorriaga,%,Arrigorriaga,100.0
2021,,,,Arrigorriaga,%,Arrigorriaga,100.0
2021,,,,Artea,%,Artea,100.0
2023,,,,Artea,%,Artea,100.0
2022,,,,Artea,%,Artea,100.0
2023,,,,Artzentales,%,Artzentales,100.0
2021,,,,Artzentales,%,Artzentales,100.0
2022,,,,Artzentales,%,Artzentales,100.0
2023,,,,Artziniega,%,Artziniega,100.0
2022,,,,Artziniega,%,Artziniega,95.5
2021,,,,Artziniega,%,Artziniega,100.0
2021,,,,Asparrena,%,Asparrena,100.0
2023,,,,Asparrena,%,Asparrena,100.0
2022,,,,Asparrena,%,Asparrena,76.9
2021,,,,Asteasu,%,Asteasu,91.7
2023,,,,Asteasu,%,Asteasu,100.0
2022,,,,Asteasu,%,Asteasu,100.0
2023,,,,Astigarraga,%,Astigarraga,100.0
2022,,,,Astigarraga,%,Astigarraga,100.0
2021,,,,Astigarraga,%,Astigarraga,99.0
2022,,,,Ataun,%,Ataun,100.0
2021,,,,Ataun,%,Ataun,100.0
2023,,,,Ataun,%,Ataun,100.0
2022,,,,Atxondo,%,Atxondo,83.3
2023,,,,Atxondo,%,Atxondo,100.0
2021,,,,Atxondo,%,Atxondo,100.0
2021,,,,Aulesti,%,Aulesti,100.0
2022,,,,Aulesti,%,Aulesti,88.9
2023,,,,Aulesti,%,Aulesti,100.0
2022,,,,Ayala / Aiara,%,Ayala / Aiara,96.3
2023,,,,Ayala / Aiara,%,Ayala / Aiara,100.0
2021,,,,Ayala / Aiara,%,Ayala / Aiara,100.0
2022,,,,Azkoitia,%,Azkoitia,95.7
2021,,,,Azkoitia,%,Azkoitia,100.0
2023,,,,Azkoitia,%,Azkoitia,100.0
2023,,,,Azpeitia,%,Azpeitia,100.0
2021,,,,Azpeitia,%,Azpeitia,100.0
2022,,,,Azpeitia,%,Azpeitia,99.3
2023,,,,Bakio,%,Bakio,100.0
2021,,,,Bakio,%,Bakio,100.0
2022,,,,Bakio,%,Bakio,96.7
2021,,,,Baliarrain,%,Baliarrain,100.0
2022,,,,Baliarrain,%,Baliarrain,100.0
2023,,,,Balmaseda,%,Balmaseda,100.0
2021,,,,Balmaseda,%,Balmaseda,100.0
2022,,,,Balmaseda,%,Balmaseda,96.1
2021,,,,Baños de Ebro / Mañueta,%,Baños de Ebro / Mañueta,100.0
2022,,,,Baños de Ebro / Mañueta,%,Baños de Ebro / Mañueta,100.0
2023,,,,Barakaldo,%,Barakaldo,100.0
2022,,,,Barakaldo,%,Barakaldo,97.2
2021,,,,Barakaldo,%,Barakaldo,99.8
2023,,,,Barrika,%,Barrika,100.0
2021,,,,Barrika,%,Barrika,100.0
2022,,,,Barrika,%,Barrika,92.9
2021,,,,Barrundia,%,Barrundia,100.0
2023,,,,Barrundia,%,Barrundia,100.0
2022,,,,Barrundia,%,Barrundia,83.3
2021,,,,Basauri,%,Basauri,99.6
2023,,,,Basauri,%,Basauri,100.0
2022,,,,Basauri,%,Basauri,97.5
2023,,,,Beasain,%,Beasain,100.0
2022,,,,Beasain,%,Beasain,97.1
2021,,,,Beasain,%,Beasain,99.3
2022,,,,Bedia,%,Bedia,93.8
2023,,,,Bedia,%,Bedia,100.0
2021,,,,Bedia,%,Bedia,100.0
2021,,,,Beizama,%,Beizama,100.0
2022,,,,Beizama,%,Beizama,50.0
2021,,,,Belauntza,%,Belauntza,100.0
2022,,,,Belauntza,%,Belauntza,60.0
2023,,,,Belauntza,%,Belauntza,100.0
2021,,,,Berango,%,Berango,98.9
2022,,,,Berango,%,Berango,95.6
2023,,,,Berango,%,Berango,100.0
2021,,,,Berantevilla,%,Berantevilla,100.0
2023,,,,Berantevilla,%,Berantevilla,100.0
2022,,,,Berantevilla,%,Berantevilla,66.7
2022,,,,Berastegi,%,Berastegi,100.0
2021,,,,Berastegi,%,Berastegi,100.0
2023,,,,Berastegi,%,Berastegi,100.0
2023,,,,Bergara,%,Bergara,100.0
2021,,,,Bergara,%,Bergara,100.0
2022,,,,Bergara,%,Bergara,99.1
2023,,,,Bermeo,%,Bermeo,100.0
2022,,,,Bermeo,%,Bermeo,95.6
2021,,,,Bermeo,%,Bermeo,97.6
2021,,,,Bernedo,%,Bernedo,100.0
2023,,,,Bernedo,%,Bernedo,100.0
2022,,,,Bernedo,%,Bernedo,100.0
2023,,,,Berriatua,%,Berriatua,100.0
2022,,,,Berriatua,%,Berriatua,100.0
2021,,,,Berriatua,%,Berriatua,100.0
2021,,,,Berriz,%,Berriz,97.2
2023,,,,Berriz,%,Berriz,100.0
2022,,,,Berriz,%,Berriz,95.8
2023,,,,Berrobi,%,Berrobi,100.0
2021,,,,Berrobi,%,Berrobi,100.0
2022,,,,Berrobi,%,Berrobi,100.0
2021,,,,Bidania-Goiatz,%,Bidania-Goiatz,100.0
2023,,,,Bidania-Goiatz,%,Bidania-Goiatz,100.0
2022,,,,Bidania-Goiatz,%,Bidania-Goiatz,100.0
2023,,,,Bilbao,%,Bilbao,100.0
2022,,,,Bilbao,%,Bilbao,96.0
2021,,,,Bilbao,%,Bilbao,99.8
2023,,,,Busturia,%,Busturia,100.0
2022,,,,Busturia,%,Busturia,100.0
2021,,,,Busturia,%,Busturia,100.0
2021,,,,Campezo / Kanpezu,%,Campezo / Kanpezu,100.0
2022,,,,Campezo / Kanpezu,%,Campezo / Kanpezu,100.0
2023,,,,Campezo / Kanpezu,%,Campezo / Kanpezu,100.0
2023,,,,Deba,%,Deba,100.0
2022,,,,Deba,%,Deba,87.9
2021,,,,Deba,%,Deba,97.8
2023,,,,Derio,%,Derio,100.0
2021,,,,Derio,%,Derio,100.0
2022,,,,Derio,%,Derio,98.7
2023,,,,Dima,%,Dima,100.0
2022,,,,Dima,%,Dima,100.0
2021,,,,Dima,%,Dima,100.0
2022,,,,Donostia / San Sebastián,%,Donostia / San Sebastián,97.2
2023,,,,Donostia / San Sebastián,%,Donostia / San Sebastián,100.0
2021,,,,Donostia / San Sebastián,%,Donostia / San Sebastián,99.7
2023,,,,Durango,%,Durango,100.0
2022,,,,Durango,%,Durango,98.4
2021,,,,Durango,%,Durango,99.7
2023,,,,Ea,%,Ea,100.0
2021,,,,Ea,%,Ea,100.0
2022,,,,Ea,%,Ea,100.0
2021,,,,Eibar,%,Eibar,100.0
2023,,,,Eibar,%,Eibar,100.0
2022,,,,Eibar,%,Eibar,98.4
2021,,,,Elantxobe,%,Elantxobe,100.0
2022,,,,Elantxobe,%,Elantxobe,100.0
2023,,,,Elburgo / Burgelu,%,Elburgo / Burgelu,100.0
2022,,,,Elburgo / Burgelu,%,Elburgo / Burgelu,100.0
2021,,,,Elburgo / Burgelu,%,Elburgo / Burgelu,100.0
2021,,,,Elciego,%,Elciego,100.0
2022,,,,Elciego,%,Elciego,100.0
2023,,,,Elciego,%,Elciego,100.0
2022,,,,Elduain,%,Elduain,100.0
2023,,,,Elduain,%,Elduain,100.0
2021,,,,Elduain,%,Elduain,100.0
2023,,,,Elgeta,%,Elgeta,100.0
2021,,,,Elgeta,%,Elgeta,100.0
2022,,,,Elgeta,%,Elgeta,100.0
2023,,,,Elgoibar,%,Elgoibar,100.0
2021,,,,Elgoibar,%,Elgoibar,100.0
2022,,,,Elgoibar,%,Elgoibar,96.0
2021,,,,Elorrio,%,Elorrio,100.0
2022,,,,Elorrio,%,Elorrio,97.2
2023,,,,Elorrio,%,Elorrio,100.0
2022,,,,Elvillar / Bilar,%,Elvillar / Bilar,100.0
2021,,,,Elvillar / Bilar,%,Elvillar / Bilar,100.0
2023,,,,Elvillar / Bilar,%,Elvillar / Bilar,100.0
2021,,,,Erandio,%,Erandio,99.5
2022,,,,Erandio,%,Erandio,97.9
2023,,,,Erandio,%,Erandio,100.0
2022,,,,Ereño,%,Ereño,100.0
2021,,,,Ereño,%,Ereño,100.0
2023,,,,Ereño,%,Ereño,100.0
2021,,,,Ermua,%,Ermua,100.0
2022,,,,Ermua,%,Ermua,98.5
2023,,,,Ermua,%,Ermua,100.0
2023,,,,Errenteria,%,Errenteria,100.0
2021,,,,Errenteria,%,Errenteria,100.0
2022,,,,Errenteria,%,Errenteria,98.0
2021,,,,Errezil,%,Errezil,100.0
2022,,,,Errezil,%,Errezil,100.0
2023,,,,Errezil,%,Errezil,100.0
2022,,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,75.0
2021,,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,100.0
2023,,,,Erriberagoitia / Ribera Alta,%,Erriberagoitia / Ribera Alta,100.0
2021,,,,Errigoiti,%,Errigoiti,100.0
2023,,,,Errigoiti,%,Errigoiti,100.0
2022,,,,Errigoiti,%,Errigoiti,100.0
2022,,,,Eskoriatza,%,Eskoriatza,100.0
2023,,,,Eskoriatza,%,Eskoriatza,100.0
2021,,,,Eskoriatza,%,Eskoriatza,100.0
2023,,,,Etxebarri,%,Etxebarri,100.0
2022,,,,Etxebarri,%,Etxebarri,98.1
2021,,,,Etxebarri,%,Etxebarri,99.4
2023,,,,Etxebarria,%,Etxebarria,100.0
2021,,,,Etxebarria,%,Etxebarria,100.0
2022,,,,Etxebarria,%,Etxebarria,100.0
2021,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,100.0
2022,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,100.0
2023,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,100.0
2021,,,,Forua,%,Forua,91.7
2023,,,,Forua,%,Forua,100.0
2022,,,,Forua,%,Forua,100.0
2022,,,,Fruiz,%,Fruiz,100.0
2023,,,,Fruiz,%,Fruiz,100.0
2021,,,,Fruiz,%,Fruiz,100.0
2021,,,,Gabiria,%,Gabiria,100.0
2023,,,,Gabiria,%,Gabiria,100.0
2022,,,,Gabiria,%,Gabiria,100.0
2023,,,,Gaintza,%,Gaintza,100.0
2021,,,,Gaintza,%,Gaintza,100.0
2023,,,,Galdakao,%,Galdakao,100.0
2021,,,,Galdakao,%,Galdakao,99.1
2022,,,,Galdakao,%,Galdakao,97.7
2022,,,,Galdames,%,Galdames,100.0
2021,,,,Galdames,%,Galdames,100.0
2023,,,,Galdames,%,Galdames,100.0
2023,,,,Gamiz-Fika,%,Gamiz-Fika,100.0
2022,,,,Gamiz-Fika,%,Gamiz-Fika,100.0
2021,,,,Gamiz-Fika,%,Gamiz-Fika,100.0
2023,,,,Garai,%,Garai,100.0
2021,,,,Garai,%,Garai,100.0
2022,,,,Garai,%,Garai,100.0
2023,,,,Gatika,%,Gatika,100.0
2021,,,,Gatika,%,Gatika,100.0
2022,,,,Gatika,%,Gatika,100.0
2021,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,100.0
2023,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,100.0
2022,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,100.0
2022,,,,Gaztelu,%,Gaztelu,100.0
2023,,,,Gaztelu,%,Gaztelu,100.0
2021,,,,Gaztelu,%,Gaztelu,100.0
2023,,,,Gernika-Lumo,%,Gernika-Lumo,100.0
2021,,,,Gernika-Lumo,%,Gernika-Lumo,100.0
2022,,,,Gernika-Lumo,%,Gernika-Lumo,95.0
2023,,,,Getaria,%,Getaria,100.0
2021,,,,Getaria,%,Getaria,96.9
2022,,,,Getaria,%,Getaria,100.0
2022,,,,Getxo,%,Getxo,91.2
2023,,,,Getxo,%,Getxo,100.0
2021,,,,Getxo,%,Getxo,99.5
2022,,,,Gizaburuaga,%,Gizaburuaga,100.0
2021,,,,Gizaburuaga,%,Gizaburuaga,100.0
2023,,,,Gordexola,%,Gordexola,100.0
2022,,,,Gordexola,%,Gordexola,92.9
2021,,,,Gordexola,%,Gordexola,100.0
2021,,,,Gorliz,%,Gorliz,100.0
2022,,,,Gorliz,%,Gorliz,93.5
2023,,,,Gorliz,%,Gorliz,100.0
2022,,,,Güeñes,%,Güeñes,92.9
2021,,,,Güeñes,%,Güeñes,100.0
2023,,,,Güeñes,%,Güeñes,100.0
2022,,,,Harana / Valle de Arana,%,Harana / Valle de Arana,100.0
2023,,,,Hernani,%,Hernani,100.0
2021,,,,Hernani,%,Hernani,99.5
2022,,,,Hernani,%,Hernani,97.4
2023,,,,Hernialde,%,Hernialde,100.0
2021,,,,Hondarribia,%,Hondarribia,100.0
2023,,,,Hondarribia,%,Hondarribia,100.0
2022,,,,Hondarribia,%,Hondarribia,91.5
2021,,,,Ibarra,%,Ibarra,100.0
2022,,,,Ibarra,%,Ibarra,96.6
2023,,,,Ibarra,%,Ibarra,100.0
2023,,,,Ibarrangelu,%,Ibarrangelu,100.0
2022,,,,Ibarrangelu,%,Ibarrangelu,83.3
2021,,,,Ibarrangelu,%,Ibarrangelu,100.0
2023,,,,Idiazabal,%,Idiazabal,100.0
2022,,,,Idiazabal,%,Idiazabal,91.2
2021,,,,Idiazabal,%,Idiazabal,100.0
2021,,,,Igorre,%,Igorre,100.0
2023,,,,Igorre,%,Igorre,100.0
2022,,,,Igorre,%,Igorre,97.1
2023,,,,Ikaztegieta,%,Ikaztegieta,100.0
2021,,,,Ikaztegieta,%,Ikaztegieta,100.0
2022,,,,Ikaztegieta,%,Ikaztegieta,100.0
2023,,,,Irun,%,Irun,100.0
2022,,,,Irun,%,Irun,93.3
2021,,,,Irun,%,Irun,99.2
2023,,,,Iruña Oka / Iruña de Oca,%,Iruña Oka / Iruña de Oca,100.0
2022,,,,Iruña Oka / Iruña de Oca,%,Iruña Oka / Iruña de Oca,100.0
2021,,,,Iruña Oka / Iruña de Oca,%,Iruña Oka / Iruña de Oca,100.0
2021,,,,Irura,%,Irura,100.0
2023,,,,Irura,%,Irura,100.0
2022,,,,Irura,%,Irura,96.4
2021,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,100.0
2023,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,100.0
2022,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,100.0
2022,,,,Ispaster,%,Ispaster,75.0
2021,,,,Ispaster,%,Ispaster,100.0
2023,,,,Ispaster,%,Ispaster,100.0
2022,,,,Itsasondo,%,Itsasondo,100.0
2021,,,,Itsasondo,%,Itsasondo,100.0
2023,,,,Itsasondo,%,Itsasondo,100.0
2022,,,,Iurreta,%,Iurreta,100.0
2021,,,,Iurreta,%,Iurreta,100.0
2023,,,,Iurreta,%,Iurreta,100.0
2021,,,,Izurtza,%,Izurtza,100.0
2022,,,,Karrantza Harana / Valle de Carranza,%,Karrantza Harana / Valle de Carranza,100.0
2023,,,,Karrantza Harana / Valle de Carranza,%,Karrantza Harana / Valle de Carranza,100.0
2021,,,,Karrantza Harana / Valle de Carranza,%,Karrantza Harana / Valle de Carranza,100.0
2022,,,,Kortezubi,%,Kortezubi,100.0
2023,,,,Kortezubi,%,Kortezubi,100.0
2021,,,,Kortezubi,%,Kortezubi,100.0
2021,,,,Kripan,%,Kripan,100.0
2023,,,,Kripan,%,Kripan,100.0
2023,,,,Kuartango,%,Kuartango,100.0
2021,,,,Kuartango,%,Kuartango,100.0
2022,,,,Kuartango,%,Kuartango,100.0
2021,,,,Labastida / Bastida,%,Labastida / Bastida,100.0
2022,,,,Labastida / Bastida,%,Labastida / Bastida,100.0
2023,,,,Labastida / Bastida,%,Labastida / Bastida,100.0
2021,,,,Lagrán,%,Lagrán,100.0
2022,,,,Lagrán,%,Lagrán,100.0
2021,,,,Laguardia,%,Laguardia,100.0
2023,,,,Laguardia,%,Laguardia,100.0
2022,,,,Laguardia,%,Laguardia,100.0
2021,,,,Lanciego / Lantziego,%,Lanciego / Lantziego,100.0
2023,,,,Lanciego / Lantziego,%,Lanciego / Lantziego,100.0
2022,,,,Lanciego / Lantziego,%,Lanciego / Lantziego,91.7
2023,,,,Lanestosa,%,Lanestosa,100.0
2021,,,,Lanestosa,%,Lanestosa,100.0
2022,,,,Lanestosa,%,Lanestosa,100.0
2022,,,,Lantarón,%,Lantarón,100.0
2021,,,,Lantarón,%,Lantarón,100.0
2023,,,,Lantarón,%,Lantarón,100.0
2022,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,100.0
2023,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,100.0
2021,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,100.0
2023,,,,Larrabetzu,%,Larrabetzu,100.0
2021,,,,Larrabetzu,%,Larrabetzu,100.0
2022,,,,Larrabetzu,%,Larrabetzu,100.0
2023,,,,Larraul,%,Larraul,100.0
2022,,,,Larraul,%,Larraul,100.0
2021,,,,Lasarte-Oria,%,Lasarte-Oria,100.0
2023,,,,Lasarte-Oria,%,Lasarte-Oria,100.0
2022,,,,Lasarte-Oria,%,Lasarte-Oria,98.7
2021,,,,Laudio / Llodio,%,Laudio / Llodio,99.1
2022,,,,Laudio / Llodio,%,Laudio / Llodio,98.7
2023,,,,Laudio / Llodio,%,Laudio / Llodio,100.0
2021,,,,Laukiz,%,Laukiz,100.0
2023,,,,Laukiz,%,Laukiz,100.0
2022,,,,Laukiz,%,Laukiz,77.8
2023,,,,Lazkao,%,Lazkao,100.0
2021,,,,Lazkao,%,Lazkao,100.0
2022,,,,Lazkao,%,Lazkao,100.0
2022,,,,Leaburu,%,Leaburu,100.0
2023,,,,Leaburu,%,Leaburu,100.0
2021,,,,Leaburu,%,Leaburu,100.0
2022,,,,Legazpi,%,Legazpi,97.3
2023,,,,Legazpi,%,Legazpi,100.0
2021,,,,Legazpi,%,Legazpi,100.0
2023,,,,Legorreta,%,Legorreta,100.0
2022,,,,Legorreta,%,Legorreta,100.0
2021,,,,Legorreta,%,Legorreta,100.0
2022,,,,Legutio,%,Legutio,100.0
2023,,,,Legutio,%,Legutio,100.0
2021,,,,Legutio,%,Legutio,100.0
2023,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,100.0
2021,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,100.0
2023,,,,Leioa,%,Leioa,100.0
2022,,,,Leioa,%,Leioa,98.2
2021,,,,Leioa,%,Leioa,100.0
2022,,,,Lekeitio,%,Lekeitio,97.7
2023,,,,Lekeitio,%,Lekeitio,100.0
2021,,,,Lekeitio,%,Lekeitio,100.0
2022,,,,Lemoa,%,Lemoa,95.5
2021,,,,Lemoa,%,Lemoa,100.0
2023,,,,Lemoa,%,Lemoa,100.0
2021,,,,Lemoiz,%,Lemoiz,100.0
2023,,,,Lemoiz,%,Lemoiz,100.0
2022,,,,Lemoiz,%,Lemoiz,100.0
2021,,,,Leza,%,Leza,100.0
2023,,,,Leza,%,Leza,100.0
2022,,,,Lezama,%,Lezama,100.0
2023,,,,Lezama,%,Lezama,100.0
2021,,,,Lezama,%,Lezama,100.0
2021,,,,Lezo,%,Lezo,100.0
2022,,,,Lezo,%,Lezo,97.9
2023,,,,Lezo,%,Lezo,100.0
2021,,,,Lizartza,%,Lizartza,100.0
2022,,,,Lizartza,%,Lizartza,90.0
2023,,,,Lizartza,%,Lizartza,100.0
2023,,,,Loiu,%,Loiu,100.0
2021,,,,Loiu,%,Loiu,100.0
2022,,,,Loiu,%,Loiu,100.0
2023,,,,Mallabia,%,Mallabia,100.0
2021,,,,Mallabia,%,Mallabia,100.0
2022,,,,Mallabia,%,Mallabia,91.7
2021,,,,Mañaria,%,Mañaria,100.0
2023,,,,Mañaria,%,Mañaria,100.0
2022,,,,Mañaria,%,Mañaria,100.0
2023,,,,Markina-Xemein,%,Markina-Xemein,100.0
2022,,,,Markina-Xemein,%,Markina-Xemein,98.1
2021,,,,Markina-Xemein,%,Markina-Xemein,100.0
2021,,,,Maruri-Jatabe,%,Maruri-Jatabe,100.0
2022,,,,Maruri-Jatabe,%,Maruri-Jatabe,100.0
2023,,,,Maruri-Jatabe,%,Maruri-Jatabe,100.0
2022,,,,Mendaro,%,Mendaro,100.0
2021,,,,Mendaro,%,Mendaro,93.3
2023,,,,Mendaro,%,Mendaro,100.0
2023,,,,Mendata,%,Mendata,100.0
2022,,,,Mendata,%,Mendata,100.0
2021,,,,Mendata,%,Mendata,100.0
2021,,,,Mendexa,%,Mendexa,100.0
2022,,,,Mendexa,%,Mendexa,100.0
2023,,,,Mendexa,%,Mendexa,100.0
2021,,,,Meñaka,%,Meñaka,100.0
2022,,,,Meñaka,%,Meñaka,100.0
2023,,,,Meñaka,%,Meñaka,100.0
2022,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,100.0
2023,,,,Moreda de Álava / Moreda Araba,%,Moreda de Álava / Moreda Araba,100.0
2021,,,,Morga,%,Morga,100.0
2022,,,,Morga,%,Morga,100.0
2023,,,,Morga,%,Morga,100.0
2022,,,,Mundaka,%,Mundaka,100.0
2023,,,,Mundaka,%,Mundaka,100.0
2021,,,,Mundaka,%,Mundaka,100.0
2022,,,,Mungia,%,Mungia,94.3
2023,,,,Mungia,%,Mungia,100.0
2021,,,,Mungia,%,Mungia,100.0
2023,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,100.0
2022,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,100.0
2021,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,100.0
2023,,,,Murueta,%,Murueta,100.0
2022,,,,Murueta,%,Murueta,100.0
2021,,,,Murueta,%,Murueta,100.0
2021,,,,Muskiz,%,Muskiz,98.4
2023,,,,Muskiz,%,Muskiz,100.0
2022,,,,Muskiz,%,Muskiz,100.0
2022,,,,Mutiloa,%,Mutiloa,100.0
2023,,,,Mutiloa,%,Mutiloa,100.0
2022,,,,Mutriku,%,Mutriku,100.0
2021,,,,Mutriku,%,Mutriku,100.0
2023,,,,Mutriku,%,Mutriku,100.0
2021,,,,Muxika,%,Muxika,100.0
2023,,,,Muxika,%,Muxika,100.0
2022,,,,Muxika,%,Muxika,82.4
