Year,Series,Ur-masen Kategoria,Units,Value
2015,Kalitate oneko ur-masen proportzioa,,%,46.8
2022,Kalitate oneko ur-masen proportzioa,,%,57.1
2018,Kalitate oneko ur-masen proportzioa,,%,65.8
2019,Kalitate oneko ur-masen proportzioa,,%,60.9
2021,Kalitate oneko ur-masen proportzioa,,%,62.4
2016,Kalitate oneko ur-masen proportzioa,,%,58.2
2023,Kalitate oneko ur-masen proportzioa,,%,55.7
2020,Kalitate oneko ur-masen proportzioa,,%,59.4
2017,Kalitate oneko ur-masen proportzioa,,%,64.4
2024,Kalitate oneko ur-masen proportzioa,,%,59.6
2020,Kalitate oneko lurpeko ur-masen proportzioa,,%,88.9
2024,Kalitate oneko lurpeko ur-masen proportzioa,,%,88.9
2017,Kalitate oneko lurpeko ur-masen proportzioa,,%,91.7
2023,Kalitate oneko lurpeko ur-masen proportzioa,,%,88.9
2019,Kalitate oneko lurpeko ur-masen proportzioa,,%,88.9
2016,Kalitate oneko lurpeko ur-masen proportzioa,,%,91.7
2015,Kalitate oneko lurpeko ur-masen proportzioa,,%,91.7
2018,Kalitate oneko lurpeko ur-masen proportzioa,,%,88.9
2021,Kalitate oneko lurpeko ur-masen proportzioa,,%,88.9
2022,Kalitate oneko lurpeko ur-masen proportzioa,,%,88.9
2019,Kalitate oneko azaleko ur-masen proportzioa,Itsasertzeko urak,%,100.0
2016,Kalitate oneko azaleko ur-masen proportzioa,Itsasertzeko urak,%,100.0
2023,Kalitate oneko azaleko ur-masen proportzioa,Itsasertzeko urak,%,100.0
2018,Kalitate oneko azaleko ur-masen proportzioa,,%,60.8
2017,Kalitate oneko azaleko ur-masen proportzioa,Itsasertzeko urak,%,100.0
2023,Kalitate oneko azaleko ur-masen proportzioa,,%,48.5
2016,Kalitate oneko azaleko ur-masen proportzioa,Trantsizio urak,%,42.9
2021,Kalitate oneko azaleko ur-masen proportzioa,Itsasertzeko urak,%,100.0
2020,Kalitate oneko azaleko ur-masen proportzioa,Itsasertzeko urak,%,100.0
2015,Kalitate oneko azaleko ur-masen proportzioa,Itsasertzeko urak,%,75.0
2018,Kalitate oneko azaleko ur-masen proportzioa,Ibaiak,%,60.6
2020,Kalitate oneko azaleko ur-masen proportzioa,,%,53.0
2021,Kalitate oneko azaleko ur-masen proportzioa,,%,56.6
2024,Kalitate oneko azaleko ur-masen proportzioa,,%,53.3
2017,Kalitate oneko azaleko ur-masen proportzioa,Ibaiak,%,57.5
2019,Kalitate oneko azaleko ur-masen proportzioa,Ibaiak,%,52.8
2022,Kalitate oneko azaleko ur-masen proportzioa,Ibaiak,%,45.3
2021,Kalitate oneko azaleko ur-masen proportzioa,Ibaiak,%,55.1
2022,Kalitate oneko azaleko ur-masen proportzioa,,%,50.3
2017,Kalitate oneko azaleko ur-masen proportzioa,,%,58.4
2020,Kalitate oneko azaleko ur-masen proportzioa,Ibaiak,%,48.0
2024,Kalitate oneko azaleko ur-masen proportzioa,Ibaiak,%,48.4
2023,Kalitate oneko azaleko ur-masen proportzioa,Ibaiak,%,43.0
2015,Kalitate oneko azaleko ur-masen proportzioa,Ibaiak,%,35.3
2018,Kalitate oneko azaleko ur-masen proportzioa,Itsasertzeko urak,%,100.0
2016,Kalitate oneko azaleko ur-masen proportzioa,Ibaiak,%,49.6
2016,Kalitate oneko azaleko ur-masen proportzioa,,%,50.6
2020,Kalitate oneko azaleko ur-masen proportzioa,Aintzira eta hezeguneak,%,22.2
2018,Kalitate oneko azaleko ur-masen proportzioa,Urtegiak,%,100.0
2022,Kalitate oneko azaleko ur-masen proportzioa,Itsasertzeko urak,%,100.0
2015,Kalitate oneko azaleko ur-masen proportzioa,Urtegiak,%,100.0
2015,Kalitate oneko azaleko ur-masen proportzioa,Aintzira eta hezeguneak,%,22.2
2022,Kalitate oneko azaleko ur-masen proportzioa,Urtegiak,%,91.7
