Year,Value,Units,Series,GeoCode
2019,99.9,Porcentaje,Proporción de viviendas con agua corriente,
2023,99.9,Porcentaje,Proporción de viviendas con agua corriente,
2010,99.5,Porcentaje,Proporción de viviendas con baño,
2022,99.9,Porcentaje,Proporción de viviendas con agua corriente,
2014,99.9,Porcentaje,Proporción de viviendas con agua corriente,
2015,99.6,Porcentaje,Proporción de viviendas con baño,
2021,99.9,Porcentaje,Proporción de viviendas con agua corriente,
2013,99.9,Porcentaje,Proporción de viviendas con agua corriente,
2021,99.8,Porcentaje,Proporción de viviendas con baño,
2016,99.9,Porcentaje,Proporción de viviendas con agua corriente,
2015,99.9,Porcentaje,Proporción de viviendas con agua corriente,
2020,99.8,Porcentaje,Proporción de viviendas con baño,
2016,99.6,Porcentaje,Proporción de viviendas con baño,
2020,99.9,Porcentaje,Proporción de viviendas con agua corriente,
2018,99.9,Porcentaje,Proporción de viviendas con agua corriente,
2013,99.6,Porcentaje,Proporción de viviendas con baño,
2023,99.8,Porcentaje,Proporción de viviendas con baño,
2019,99.6,Porcentaje,Proporción de viviendas con baño,
2022,99.8,Porcentaje,Proporción de viviendas con baño,
2014,99.6,Porcentaje,Proporción de viviendas con baño,
2018,99.6,Porcentaje,Proporción de viviendas con baño,
2010,99.9,Porcentaje,Proporción de viviendas con agua corriente,
