Year,Series,Sexo,EmpCont,Territorio,Comarca,Municipio,Units,GeoCode,Value
2011,EU_EMP_LFS,,,,,,PT,,67.7
2020,EU_EMP_LFS,,,,,,PT,,70.9
2010,EU_EMP_LFS,,,,,,PT,,68.3
2017,EU_EMP_LFS,,,,,,PT,,70.0
2022,EU_EMP_LFS,,,,,,PT,,74.0
2012,EU_EMP_LFS,,,,,,PT,,66.3
2016,EU_EMP_LFS,,,,,,PT,,68.9
2013,EU_EMP_LFS,,,,,,PT,,66.0
2019,EU_EMP_LFS,,,,,,PT,,72.6
2018,EU_EMP_LFS,,,,,,PT,,72.0
2021,EU_EMP_LFS,,,,,,PT,,72.2
2015,EU_EMP_LFS,,,,,,PT,,67.6
2023,EU_EMP_LFS,,,,,,PT,,74.6
2014,EU_EMP_LFS,,,,,,PT,,66.4
2021,EU_EMP_LFS,,,,,ES48001,PT,ES48001,72.6
2019,EU_EMP_LFS,,,,,ES48001,PT,ES48001,72.9
2022,EU_EMP_LFS,,,,,ES48001,PT,ES48001,74.5
2010,EU_EMP_LFS,,,,,ES48001,PT,ES48001,65.7
2018,EU_EMP_LFS,,,,,ES48001,PT,ES48001,72.0
2015,EU_EMP_LFS,,,,,ES48001,PT,ES48001,68.7
2020,EU_EMP_LFS,,,,,ES48001,PT,ES48001,73.1
2016,EU_EMP_LFS,,,,,ES48001,PT,ES48001,69.6
2023,EU_EMP_LFS,,,,,ES48001,PT,ES48001,76.7
2021,EU_EMP_LFS,,,,,ES20001,PT,ES20001,79.3
2018,EU_EMP_LFS,,,,,ES20001,PT,ES20001,74.1
2020,EU_EMP_LFS,,,,,ES20001,PT,ES20001,82.1
2022,EU_EMP_LFS,,,,,ES20001,PT,ES20001,80.3
2023,EU_EMP_LFS,,,,,ES20001,PT,ES20001,78.4
2016,EU_EMP_LFS,,,,,ES20001,PT,ES20001,75.1
2015,EU_EMP_LFS,,,,,ES20001,PT,ES20001,77.3
2019,EU_EMP_LFS,,,,,ES20001,PT,ES20001,77.2
2010,EU_EMP_LFS,,,,,ES20001,PT,ES20001,76.8
2018,EU_EMP_LFS,,,,,ES48002,PT,ES48002,66.4
2019,EU_EMP_LFS,,,,,ES48002,PT,ES48002,68.2
2010,EU_EMP_LFS,,,,,ES48002,PT,ES48002,65.3
2015,EU_EMP_LFS,,,,,ES48002,PT,ES48002,63.3
2016,EU_EMP_LFS,,,,,ES48002,PT,ES48002,63.0
2020,EU_EMP_LFS,,,,,ES48002,PT,ES48002,68.2
2021,EU_EMP_LFS,,,,,ES48002,PT,ES48002,67.4
2022,EU_EMP_LFS,,,,,ES48002,PT,ES48002,70.1
2023,EU_EMP_LFS,,,,,ES48002,PT,ES48002,72.8
2010,EU_EMP_LFS,,,,,ES20002,PT,ES20002,76.2
2016,EU_EMP_LFS,,,,,ES20002,PT,ES20002,80.3
2022,EU_EMP_LFS,,,,,ES20002,PT,ES20002,84.1
2021,EU_EMP_LFS,,,,,ES20002,PT,ES20002,84.8
2018,EU_EMP_LFS,,,,,ES20002,PT,ES20002,83.8
2015,EU_EMP_LFS,,,,,ES20002,PT,ES20002,77.6
2019,EU_EMP_LFS,,,,,ES20002,PT,ES20002,84.2
2023,EU_EMP_LFS,,,,,ES20002,PT,ES20002,86.0
2020,EU_EMP_LFS,,,,,ES20002,PT,ES20002,82.3
2020,EU_EMP_LFS,,,,,ES01051,PT,ES01051,69.2
2022,EU_EMP_LFS,,,,,ES01051,PT,ES01051,73.2
2010,EU_EMP_LFS,,,,,ES01051,PT,ES01051,68.6
2015,EU_EMP_LFS,,,,,ES01051,PT,ES01051,66.7
2023,EU_EMP_LFS,,,,,ES01051,PT,ES01051,73.5
2021,EU_EMP_LFS,,,,,ES01051,PT,ES01051,69.1
2016,EU_EMP_LFS,,,,,ES01051,PT,ES01051,66.4
2018,EU_EMP_LFS,,,,,ES01051,PT,ES01051,67.8
2019,EU_EMP_LFS,,,,,ES01051,PT,ES01051,68.2
2015,EU_EMP_LFS,,,,,ES20016,PT,ES20016,73.8
2018,EU_EMP_LFS,,,,,ES20016,PT,ES20016,76.9
2022,EU_EMP_LFS,,,,,ES20016,PT,ES20016,79.6
2016,EU_EMP_LFS,,,,,ES20016,PT,ES20016,74.5
2019,EU_EMP_LFS,,,,,ES20016,PT,ES20016,78.3
2021,EU_EMP_LFS,,,,,ES20016,PT,ES20016,78.0
2023,EU_EMP_LFS,,,,,ES20016,PT,ES20016,82.6
2020,EU_EMP_LFS,,,,,ES20016,PT,ES20016,78.2
2010,EU_EMP_LFS,,,,,ES20016,PT,ES20016,72.0
2022,EU_EMP_LFS,,,,,ES20003,PT,ES20003,73.3
