Year,Series,Province,Units,Value
2018,Average income of small food producers,,Euros,7612.6
2020,Average income of small food producers,,Euros,3757.6
2019,Average income of small food producers,,Euros,7899.9
2016,Average income of small food producers,,Euros,8479.1
2015,Average income of small food producers,,Euros,7680.2
2017,Average income of small food producers,,Euros,6744.6
2021,Average income of small food producers,,Euros,4033.8
2016,Average income of small food producers,Araba/Álava,Euros,17907.0
2021,Average income of small food producers,Araba/Álava,Euros,7234.3
2017,Average income of small food producers,Araba/Álava,Euros,12241.1
2019,Average income of small food producers,Araba/Álava,Euros,12267.3
2020,Average income of small food producers,Araba/Álava,Euros,7637.6
2018,Average income of small food producers,Araba/Álava,Euros,14879.2
2015,Average income of small food producers,Araba/Álava,Euros,18898.2
2018,Average income of small food producers,Bizkaia,Euros,7334.5
2015,Average income of small food producers,Bizkaia,Euros,6274.2
2017,Average income of small food producers,Bizkaia,Euros,5406.1
2019,Average income of small food producers,Bizkaia,Euros,11525.0
2016,Average income of small food producers,Bizkaia,Euros,7118.4
2021,Average income of small food producers,Bizkaia,Euros,5118.8
2020,Average income of small food producers,Bizkaia,Euros,7641.5
2015,Average income of small food producers,Gipuzkoa,Euros,4877.0
2021,Average income of small food producers,Gipuzkoa,Euros,2926.6
2018,Average income of small food producers,Gipuzkoa,Euros,6386.2
2020,Average income of small food producers,Gipuzkoa,Euros,1816.6
2017,Average income of small food producers,Gipuzkoa,Euros,6196.0
2019,Average income of small food producers,Gipuzkoa,Euros,5670.4
2016,Average income of small food producers,Gipuzkoa,Euros,6939.4
2018,Average income of large food producers,,Euros,15931.4
2015,Average income of large food producers,,Euros,13529.1
2019,Average income of large food producers,,Euros,17862.3
2020,Average income of large food producers,,Euros,16492.3
2021,Average income of large food producers,,Euros,18226.4
2017,Average income of large food producers,,Euros,19387.5
2016,Average income of large food producers,,Euros,15834.3
2016,Average income of large food producers,Araba/Álava,Euros,17472.5
2015,Average income of large food producers,Araba/Álava,Euros,9404.4
2020,Average income of large food producers,Araba/Álava,Euros,20197.8
2018,Average income of large food producers,Araba/Álava,Euros,18254.9
2017,Average income of large food producers,Araba/Álava,Euros,19983.4
2019,Average income of large food producers,Araba/Álava,Euros,22051.5
2021,Average income of large food producers,Araba/Álava,Euros,33766.7
2021,Average income of large food producers,Bizkaia,Euros,14025.1
2020,Average income of large food producers,Bizkaia,Euros,20190.1
2018,Average income of large food producers,Bizkaia,Euros,12988.9
2015,Average income of large food producers,Bizkaia,Euros,14542.8
2017,Average income of large food producers,Bizkaia,Euros,18102.8
2016,Average income of large food producers,Bizkaia,Euros,15362.7
2019,Average income of large food producers,Bizkaia,Euros,17973.2
2021,Average income of large food producers,Gipuzkoa,Euros,11246.8
2015,Average income of large food producers,Gipuzkoa,Euros,15465.7
2019,Average income of large food producers,Gipuzkoa,Euros,15346.9
2018,Average income of large food producers,Gipuzkoa,Euros,15629.8
2017,Average income of large food producers,Gipuzkoa,Euros,19512.8
2016,Average income of large food producers,Gipuzkoa,Euros,15024.3
2020,Average income of large food producers,Gipuzkoa,Euros,13018.2
