Year,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2022,,,,,PT,,96.8
2024,,,,,PT,,99.8
2023,,,,,PT,,100.0
2021,,,,,PT,,99.7
2024,,,,ES48001,PT,ES48001,100.0
2022,,,,ES48001,PT,ES48001,97.3
2021,,,,ES48001,PT,ES48001,100.0
2023,,,,ES48001,PT,ES48001,100.0
2022,,,,ES20001,PT,ES20001,100.0
2023,,,,ES20001,PT,ES20001,100.0
2021,,,,ES48002,PT,ES48002,100.0
2022,,,,ES48002,PT,ES48002,95.7
2023,,,,ES48002,PT,ES48002,100.0
2024,,,,ES48002,PT,ES48002,100.0
2024,,,,ES20002,PT,ES20002,100.0
2022,,,,ES20002,PT,ES20002,100.0
2021,,,,ES20002,PT,ES20002,100.0
2023,,,,ES20002,PT,ES20002,100.0
2023,,,,ES01051,PT,ES01051,100.0
2024,,,,ES01051,PT,ES01051,100.0
2022,,,,ES01051,PT,ES01051,93.8
2021,,,,ES01051,PT,ES01051,100.0
2023,,,,ES20016,PT,ES20016,100.0
2024,,,,ES20016,PT,ES20016,100.0
2022,,,,ES20016,PT,ES20016,95.8
2021,,,,ES20016,PT,ES20016,100.0
2023,,,,ES20003,PT,ES20003,100.0
2021,,,,ES20003,PT,ES20003,100.0
2022,,,,ES20003,PT,ES20003,100.0
2024,,,,ES20003,PT,ES20003,100.0
2022,,,,ES48911,PT,ES48911,100.0
2024,,,,ES48911,PT,ES48911,100.0
2023,,,,ES48911,PT,ES48911,100.0
2021,,,,ES48911,PT,ES48911,100.0
2022,,,,ES20004,PT,ES20004,100.0
2023,,,,ES20004,PT,ES20004,100.0
2024,,,,ES20004,PT,ES20004,100.0
2021,,,,ES20004,PT,ES20004,100.0
2023,,,,ES20005,PT,ES20005,100.0
2021,,,,ES20005,PT,ES20005,100.0
2022,,,,ES20005,PT,ES20005,100.0
2024,,,,ES20005,PT,ES20005,100.0
2024,,,,ES01001,PT,ES01001,100.0
2023,,,,ES01001,PT,ES01001,100.0
2021,,,,ES01001,PT,ES01001,100.0
2022,,,,ES01001,PT,ES01001,97.2
2021,,,,ES20006,PT,ES20006,100.0
2022,,,,ES20006,PT,ES20006,100.0
2023,,,,ES20006,PT,ES20006,100.0
2024,,,,ES20006,PT,ES20006,100.0
2023,,,,ES48912,PT,ES48912,100.0
2024,,,,ES48912,PT,ES48912,100.0
2021,,,,ES48912,PT,ES48912,100.0
2022,,,,ES48912,PT,ES48912,100.0
2021,,,,ES20906,PT,ES20906,100.0
2023,,,,ES20906,PT,ES20906,100.0
2022,,,,ES20906,PT,ES20906,100.0
2022,,,,ES20007,PT,ES20007,100.0
2023,,,,ES20007,PT,ES20007,100.0
2021,,,,ES20007,PT,ES20007,100.0
2024,,,,ES20007,PT,ES20007,100.0
2024,,,,ES20008,PT,ES20008,100.0
2023,,,,ES20008,PT,ES20008,100.0
2021,,,,ES20008,PT,ES20008,100.0
2022,,,,ES20008,PT,ES20008,100.0
2022,,,,ES48003,PT,ES48003,97.5
2021,,,,ES48003,PT,ES48003,100.0
2024,,,,ES48003,PT,ES48003,100.0
2023,,,,ES48003,PT,ES48003,100.0
2024,,,,ES48004,PT,ES48004,100.0
2022,,,,ES48004,PT,ES48004,100.0
2023,,,,ES48004,PT,ES48004,100.0
2022,,,,ES01002,PT,ES01002,100.0
2021,,,,ES01002,PT,ES01002,100.0
2023,,,,ES01002,PT,ES01002,100.0
2024,,,,ES01002,PT,ES01002,100.0
2021,,,,ES20009,PT,ES20009,100.0
2024,,,,ES20009,PT,ES20009,100.0
2023,,,,ES20009,PT,ES20009,100.0
2022,,,,ES20009,PT,ES20009,96.8
2021,,,,ES20010,PT,ES20010,100.0
2023,,,,ES20010,PT,ES20010,100.0
2024,,,,ES20010,PT,ES20010,100.0
2022,,,,ES20010,PT,ES20010,100.0
2022,,,,ES20011,PT,ES20011,100.0
2024,,,,ES20011,PT,ES20011,100.0
2021,,,,ES20011,PT,ES20011,100.0
2023,,,,ES20011,PT,ES20011,100.0
2024,,,,ES01049,PT,ES01049,100.0
2022,,,,ES01049,PT,ES01049,100.0
2022,,,,ES48005,PT,ES48005,100.0
2021,,,,ES48005,PT,ES48005,100.0
2023,,,,ES48005,PT,ES48005,100.0
2023,,,,ES20012,PT,ES20012,100.0
2022,,,,ES20012,PT,ES20012,100.0
2021,,,,ES20012,PT,ES20012,100.0
2024,,,,ES20012,PT,ES20012,100.0
2024,,,,ES01003,PT,ES01003,100.0
2021,,,,ES01003,PT,ES01003,100.0
2023,,,,ES01003,PT,ES01003,100.0
2022,,,,ES01003,PT,ES01003,100.0
2022,,,,ES48006,PT,ES48006,100.0
2023,,,,ES48006,PT,ES48006,100.0
2021,,,,ES48006,PT,ES48006,100.0
2024,,,,ES48006,PT,ES48006,100.0
2022,,,,ES48093,PT,ES48093,100.0
2024,,,,ES48093,PT,ES48093,100.0
2023,,,,ES48093,PT,ES48093,100.0
2021,,,,ES48093,PT,ES48093,100.0
2024,,,,ES20013,PT,ES20013,100.0
2023,,,,ES20013,PT,ES20013,100.0
2022,,,,ES20013,PT,ES20013,100.0
2021,,,,ES20013,PT,ES20013,98.6
2022,,,,ES01006,PT,ES01006,100.0
2021,,,,ES01006,PT,ES01006,100.0
2023,,,,ES01006,PT,ES01006,100.0
2022,,,,ES01037,PT,ES01037,100.0
2024,,,,ES01037,PT,ES01037,100.0
2021,,,,ES01037,PT,ES01037,100.0
2023,,,,ES01037,PT,ES01037,100.0
2021,,,,ES48009,PT,ES48009,100.0
2024,,,,ES48009,PT,ES48009,100.0
2022,,,,ES48009,PT,ES48009,100.0
2023,,,,ES48009,PT,ES48009,100.0
2023,,,,ES20055,PT,ES20055,100.0
2024,,,,ES20055,PT,ES20055,98.8
2022,,,,ES20055,PT,ES20055,97.2
2021,,,,ES20055,PT,ES20055,99.5
2023,,,,ES48914,PT,ES48914,100.0
