Year,Value,Units,Series,GeoCode
2019,102.16,%,Expenditure settled by the regional administration in relation to the budgeted expenditure,
2020,100.05,%,Expenditure settled by the regional administration in relation to the budgeted expenditure,
2017,97.87,%,Expenditure settled by the regional administration in relation to the budgeted expenditure,
2022,104.68,%,Expenditure settled by the regional administration in relation to the budgeted expenditure,
2021,102.22,%,Expenditure settled by the regional administration in relation to the budgeted expenditure,
2018,98.53,%,Expenditure settled by the regional administration in relation to the budgeted expenditure,
2023,101.1,%,Expenditure settled by the regional administration in relation to the budgeted expenditure,
2016,94.8,%,Expenditure settled by the regional administration in relation to the budgeted expenditure,
2023,103.31,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2010,110.23,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2016,97.37,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2021,99.22,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2017,96.78,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2011,100.45,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2020,93.84,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2014,98.47,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2022,100.26,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2019,100.27,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2015,98.05,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2013,100.2,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2012,93.03,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
2018,97.17,%,Liquidated expenditure of the municipalities in proportion to the originally approved budget,
