Year,Series,Territorio histórico,Units,Value
2012,Gastos en investigación y desarrollo en proporción al PIB,,%,2.1
2024,Gastos en investigación y desarrollo en proporción al PIB,,%,2.2
2015,Gastos en investigación y desarrollo en proporción al PIB,,%,1.8
2014,Gastos en investigación y desarrollo en proporción al PIB,,%,1.9
2011,Gastos en investigación y desarrollo en proporción al PIB,,%,2.0
2013,Gastos en investigación y desarrollo en proporción al PIB,,%,2.0
2010,Gastos en investigación y desarrollo en proporción al PIB,,%,2.0
2022,Gastos en investigación y desarrollo en proporción al PIB,,%,2.1
2016,Gastos en investigación y desarrollo en proporción al PIB,,%,1.8
2020,Gastos en investigación y desarrollo en proporción al PIB,,%,2.1
2017,Gastos en investigación y desarrollo en proporción al PIB,,%,1.8
2018,Gastos en investigación y desarrollo en proporción al PIB,,%,1.8
2023,Gastos en investigación y desarrollo en proporción al PIB,,%,2.1
2019,Gastos en investigación y desarrollo en proporción al PIB,,%,1.8
2021,Gastos en investigación y desarrollo en proporción al PIB,,%,2.1
2021,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.3
2010,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.6
2019,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.2
2017,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.3
2014,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.5
2011,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.5
2012,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.6
2015,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.4
2016,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.3
2022,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.4
2023,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.6
2013,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.6
2020,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.3
2024,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.6
2018,Gastos en investigación y desarrollo en proporción al PIB,Araba/Álava,%,1.3
2018,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.7
2020,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.9
2019,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.7
2022,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.9
2015,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.7
2013,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.9
2010,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.9
2014,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.8
2017,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.7
2023,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.9
2011,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.9
2016,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.7
2012,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.9
2024,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,1.9
2021,Gastos en investigación y desarrollo en proporción al PIB,Bizkaia,%,2.0
2011,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.5
2013,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.4
2016,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.2
2015,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.2
2010,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.4
2017,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.3
2022,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.7
2020,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.6
2019,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.3
2021,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.6
2014,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.3
2024,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.7
2023,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.7
2012,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.6
2018,Gastos en investigación y desarrollo en proporción al PIB,Gipuzkoa,%,2.3
