Year,Series,Province,County,Municipality,Units,GeoCode,Value
2010,EU_SDG_02_40,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.0
2011,EU_SDG_02_40,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.0
2015,EU_SDG_02_40,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.0
2018,EU_SDG_02_40,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,1.9
2017,EU_SDG_02_40,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.0
2013,EU_SDG_02_40,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.0
2012,EU_SDG_02_40,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.0
2020,EU_SDG_02_40,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.3
2016,EU_SDG_02_40,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.0
2023,EU_SDG_02_40,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.3
2013,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2021,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2014,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2020,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2011,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2010,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2016,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2012,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2023,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2022,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2018,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2019,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2017,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2015,EU_SDG_02_40,,,Aduna,PT,Aduna,0.0
2014,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.3
2010,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.4
2021,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.1
2019,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.4
2016,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.4
2015,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.3
2011,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.3
2013,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.3
2020,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.4
2018,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.4
2017,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.4
2023,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.1
2022,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.0
2012,EU_SDG_02_40,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,0.3
2022,EU_SDG_02_40,,,Aia,PT,Aia,2.1
2017,EU_SDG_02_40,,,Aia,PT,Aia,0.6
2013,EU_SDG_02_40,,,Aia,PT,Aia,0.5
2016,EU_SDG_02_40,,,Aia,PT,Aia,0.5
2010,EU_SDG_02_40,,,Aia,PT,Aia,0.4
2020,EU_SDG_02_40,,,Aia,PT,Aia,1.2
2019,EU_SDG_02_40,,,Aia,PT,Aia,1.6
2011,EU_SDG_02_40,,,Aia,PT,Aia,0.7
2023,EU_SDG_02_40,,,Aia,PT,Aia,2.1
2014,EU_SDG_02_40,,,Aia,PT,Aia,0.5
2012,EU_SDG_02_40,,,Aia,PT,Aia,0.7
2021,EU_SDG_02_40,,,Aia,PT,Aia,1.9
2015,EU_SDG_02_40,,,Aia,PT,Aia,0.5
2018,EU_SDG_02_40,,,Aia,PT,Aia,0.6
2022,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,0.9
2014,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,1.6
2015,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,1.6
2012,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,2.3
2019,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,1.6
2017,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,1.5
2016,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,1.7
2013,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,2.3
2023,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,0.9
2010,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,2.4
2021,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,0.9
2018,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,1.6
2011,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,2.3
2020,EU_SDG_02_40,,,Aizarnazabal,PT,Aizarnazabal,1.6
2011,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,4.0
2017,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,3.8
2019,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,3.8
2013,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,4.5
2015,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,4.0
2021,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,4.0
2016,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,3.7
2014,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,4.5
2022,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,4.0
2020,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,3.8
2018,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,3.7
2023,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,14.9
2012,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,4.0
2010,EU_SDG_02_40,,,Ajangiz,PT,Ajangiz,1.8
2014,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2015,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2012,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2022,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2013,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2011,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2023,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2017,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2021,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2018,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2020,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2010,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2019,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2016,EU_SDG_02_40,,,Albiztur,PT,Albiztur,0.0
2016,EU_SDG_02_40,,,Alegia,PT,Alegia,0.0
2012,EU_SDG_02_40,,,Alegia,PT,Alegia,0.0
2017,EU_SDG_02_40,,,Alegia,PT,Alegia,0.5
2013,EU_SDG_02_40,,,Alegia,PT,Alegia,0.0
2021,EU_SDG_02_40,,,Alegia,PT,Alegia,0.5
2014,EU_SDG_02_40,,,Alegia,PT,Alegia,0.0
2020,EU_SDG_02_40,,,Alegia,PT,Alegia,0.5
2018,EU_SDG_02_40,,,Alegia,PT,Alegia,0.5
2019,EU_SDG_02_40,,,Alegia,PT,Alegia,0.5
2010,EU_SDG_02_40,,,Alegia,PT,Alegia,0.0
2015,EU_SDG_02_40,,,Alegia,PT,Alegia,0.0
2022,EU_SDG_02_40,,,Alegia,PT,Alegia,0.5
2023,EU_SDG_02_40,,,Alegia,PT,Alegia,0.5
2011,EU_SDG_02_40,,,Alegia,PT,Alegia,0.0
2023,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,1.4
2016,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,0.3
2017,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,0.3
2010,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,0.2
2020,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,1.0
2015,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,0.3
2021,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,1.0
2012,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,0.2
2018,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,0.5
2014,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,0.3
2022,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,1.4
2013,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,0.5
2019,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,1.0
2011,EU_SDG_02_40,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,0.2
2020,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.4
2023,EU_SDG_02_40,,,Alkiza,PT,Alkiza,2.6
2014,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.2
2010,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.2
2013,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.2
2021,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.4
2022,EU_SDG_02_40,,,Alkiza,PT,Alkiza,3.0
2018,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.2
2017,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.2
2019,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.2
2016,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.2
2012,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.2
2011,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.2
2015,EU_SDG_02_40,,,Alkiza,PT,Alkiza,0.2
2016,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.1
2022,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.2
2013,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.1
2023,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.2
2011,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.0
2018,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.1
2021,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.0
2012,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.5
2020,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.1
2010,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.0
2019,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.1
2015,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.1
2017,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.1
2014,EU_SDG_02_40,,,Alonsotegi,PT,Alonsotegi,0.7
2019,EU_SDG_02_40,,,Altzaga,PT,Altzaga,6.0
2023,EU_SDG_02_40,,,Altzaga,PT,Altzaga,14.5
2013,EU_SDG_02_40,,,Altzaga,PT,Altzaga,3.4
2014,EU_SDG_02_40,,,Altzaga,PT,Altzaga,4.9
2016,EU_SDG_02_40,,,Altzaga,PT,Altzaga,4.3
2011,EU_SDG_02_40,,,Altzaga,PT,Altzaga,0.0
2018,EU_SDG_02_40,,,Altzaga,PT,Altzaga,5.3
2017,EU_SDG_02_40,,,Altzaga,PT,Altzaga,6.8
2022,EU_SDG_02_40,,,Altzaga,PT,Altzaga,9.7
2020,EU_SDG_02_40,,,Altzaga,PT,Altzaga,9.6
2012,EU_SDG_02_40,,,Altzaga,PT,Altzaga,0.0
2015,EU_SDG_02_40,,,Altzaga,PT,Altzaga,5.0
2010,EU_SDG_02_40,,,Altzaga,PT,Altzaga,0.0
2021,EU_SDG_02_40,,,Altzaga,PT,Altzaga,9.7
2023,EU_SDG_02_40,,,Altzo,PT,Altzo,22.8
2021,EU_SDG_02_40,,,Altzo,PT,Altzo,22.1
2020,EU_SDG_02_40,,,Altzo,PT,Altzo,22.1
2011,EU_SDG_02_40,,,Altzo,PT,Altzo,13.9
2010,EU_SDG_02_40,,,Altzo,PT,Altzo,14.2
2013,EU_SDG_02_40,,,Altzo,PT,Altzo,14.5
2022,EU_SDG_02_40,,,Altzo,PT,Altzo,23.0
2016,EU_SDG_02_40,,,Altzo,PT,Altzo,13.3
2017,EU_SDG_02_40,,,Altzo,PT,Altzo,13.6
2012,EU_SDG_02_40,,,Altzo,PT,Altzo,14.5
2018,EU_SDG_02_40,,,Altzo,PT,Altzo,12.8
2019,EU_SDG_02_40,,,Altzo,PT,Altzo,23.3
2015,EU_SDG_02_40,,,Altzo,PT,Altzo,12.8
2014,EU_SDG_02_40,,,Altzo,PT,Altzo,14.3
2022,EU_SDG_02_40,,,Amezketa,PT,Amezketa,1.2
2013,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.0
2010,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.0
2015,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.0
2023,EU_SDG_02_40,,,Amezketa,PT,Amezketa,1.2
2011,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.0
2016,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.0
2014,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.0
2019,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.6
2021,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.6
2012,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.0
2017,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.0
2018,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.0
2020,EU_SDG_02_40,,,Amezketa,PT,Amezketa,0.6
2016,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,0.9
2018,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,1.8
2015,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,0.2
2011,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,1.6
2012,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,1.1
2010,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,1.6
2023,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,4.2
2013,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,1.2
2014,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,0.1
2022,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,3.6
2017,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,1.2
2021,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,3.3
2019,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,2.5
2020,EU_SDG_02_40,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,2.7
2022,EU_SDG_02_40,,,Amoroto,PT,Amoroto,7.8
2017,EU_SDG_02_40,,,Amoroto,PT,Amoroto,1.8
2019,EU_SDG_02_40,,,Amoroto,PT,Amoroto,3.0
2010,EU_SDG_02_40,,,Amoroto,PT,Amoroto,1.5
2018,EU_SDG_02_40,,,Amoroto,PT,Amoroto,1.8
2011,EU_SDG_02_40,,,Amoroto,PT,Amoroto,1.9
2014,EU_SDG_02_40,,,Amoroto,PT,Amoroto,2.1
2015,EU_SDG_02_40,,,Amoroto,PT,Amoroto,1.9
2020,EU_SDG_02_40,,,Amoroto,PT,Amoroto,9.6
2021,EU_SDG_02_40,,,Amoroto,PT,Amoroto,9.4
2012,EU_SDG_02_40,,,Amoroto,PT,Amoroto,1.9
2023,EU_SDG_02_40,,,Amoroto,PT,Amoroto,8.9
2013,EU_SDG_02_40,,,Amoroto,PT,Amoroto,2.9
2016,EU_SDG_02_40,,,Amoroto,PT,Amoroto,1.8
2018,EU_SDG_02_40,,,Amurrio,PT,Amurrio,1.8
2020,EU_SDG_02_40,,,Amurrio,PT,Amurrio,1.9
2017,EU_SDG_02_40,,,Amurrio,PT,Amurrio,1.8
2015,EU_SDG_02_40,,,Amurrio,PT,Amurrio,1.5
2012,EU_SDG_02_40,,,Amurrio,PT,Amurrio,1.4
2011,EU_SDG_02_40,,,Amurrio,PT,Amurrio,1.3
2016,EU_SDG_02_40,,,Amurrio,PT,Amurrio,1.7
2023,EU_SDG_02_40,,,Amurrio,PT,Amurrio,2.2
2022,EU_SDG_02_40,,,Amurrio,PT,Amurrio,2.1
2021,EU_SDG_02_40,,,Amurrio,PT,Amurrio,2.1
2013,EU_SDG_02_40,,,Amurrio,PT,Amurrio,1.5
2014,EU_SDG_02_40,,,Amurrio,PT,Amurrio,1.5
2019,EU_SDG_02_40,,,Amurrio,PT,Amurrio,1.9
2010,EU_SDG_02_40,,,Amurrio,PT,Amurrio,1.2
2011,EU_SDG_02_40,,,Andoain,PT,Andoain,4.0
2023,EU_SDG_02_40,,,Andoain,PT,Andoain,5.5
2018,EU_SDG_02_40,,,Andoain,PT,Andoain,4.5
2010,EU_SDG_02_40,,,Andoain,PT,Andoain,3.9
2014,EU_SDG_02_40,,,Andoain,PT,Andoain,4.2
2017,EU_SDG_02_40,,,Andoain,PT,Andoain,4.3
2022,EU_SDG_02_40,,,Andoain,PT,Andoain,5.5
2021,EU_SDG_02_40,,,Andoain,PT,Andoain,4.5
2015,EU_SDG_02_40,,,Andoain,PT,Andoain,4.2
2012,EU_SDG_02_40,,,Andoain,PT,Andoain,4.0
2016,EU_SDG_02_40,,,Andoain,PT,Andoain,4.2
2020,EU_SDG_02_40,,,Andoain,PT,Andoain,4.8
2019,EU_SDG_02_40,,,Andoain,PT,Andoain,4.8
2013,EU_SDG_02_40,,,Andoain,PT,Andoain,4.0
2018,EU_SDG_02_40,,,Anoeta,PT,Anoeta,10.8
2015,EU_SDG_02_40,,,Anoeta,PT,Anoeta,11.0
2022,EU_SDG_02_40,,,Anoeta,PT,Anoeta,12.6
2013,EU_SDG_02_40,,,Anoeta,PT,Anoeta,10.4
2019,EU_SDG_02_40,,,Anoeta,PT,Anoeta,12.5
2020,EU_SDG_02_40,,,Anoeta,PT,Anoeta,12.7
2012,EU_SDG_02_40,,,Anoeta,PT,Anoeta,10.4
2010,EU_SDG_02_40,,,Anoeta,PT,Anoeta,9.9
2011,EU_SDG_02_40,,,Anoeta,PT,Anoeta,10.2
2014,EU_SDG_02_40,,,Anoeta,PT,Anoeta,11.0
2021,EU_SDG_02_40,,,Anoeta,PT,Anoeta,12.7
2023,EU_SDG_02_40,,,Anoeta,PT,Anoeta,11.7
2017,EU_SDG_02_40,,,Anoeta,PT,Anoeta,10.5
2016,EU_SDG_02_40,,,Anoeta,PT,Anoeta,12.4
2018,EU_SDG_02_40,,,Antzuola,PT,Antzuola,10.7
2023,EU_SDG_02_40,,,Antzuola,PT,Antzuola,25.5
2019,EU_SDG_02_40,,,Antzuola,PT,Antzuola,18.1
2022,EU_SDG_02_40,,,Antzuola,PT,Antzuola,23.2
2016,EU_SDG_02_40,,,Antzuola,PT,Antzuola,4.8
2012,EU_SDG_02_40,,,Antzuola,PT,Antzuola,4.1
2017,EU_SDG_02_40,,,Antzuola,PT,Antzuola,8.1
2021,EU_SDG_02_40,,,Antzuola,PT,Antzuola,17.0
2013,EU_SDG_02_40,,,Antzuola,PT,Antzuola,4.1
2015,EU_SDG_02_40,,,Antzuola,PT,Antzuola,4.4
2010,EU_SDG_02_40,,,Antzuola,PT,Antzuola,4.1
2011,EU_SDG_02_40,,,Antzuola,PT,Antzuola,4.1
2020,EU_SDG_02_40,,,Antzuola,PT,Antzuola,16.9
2014,EU_SDG_02_40,,,Antzuola,PT,Antzuola,4.1
2012,EU_SDG_02_40,,,Añana,PT,Añana,0.0
2017,EU_SDG_02_40,,,Añana,PT,Añana,0.9
2022,EU_SDG_02_40,,,Añana,PT,Añana,1.1
2015,EU_SDG_02_40,,,Añana,PT,Añana,0.4
2020,EU_SDG_02_40,,,Añana,PT,Añana,1.1
2023,EU_SDG_02_40,,,Añana,PT,Añana,1.2
2019,EU_SDG_02_40,,,Añana,PT,Añana,1.0
2014,EU_SDG_02_40,,,Añana,PT,Añana,0.4
2016,EU_SDG_02_40,,,Añana,PT,Añana,0.4
2011,EU_SDG_02_40,,,Añana,PT,Añana,0.0
2018,EU_SDG_02_40,,,Añana,PT,Añana,0.4
2013,EU_SDG_02_40,,,Añana,PT,Añana,0.1
2021,EU_SDG_02_40,,,Añana,PT,Añana,1.0
2010,EU_SDG_02_40,,,Añana,PT,Añana,0.0
2010,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.0
2023,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.0
2015,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.0
2011,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.0
2012,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.0
2016,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.0
2019,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.0
2021,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.4
2020,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.4
2017,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.0
2022,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.4
2018,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.0
2013,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.0
2014,EU_SDG_02_40,,,Arakaldo,PT,Arakaldo,0.0
2016,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2022,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2017,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2019,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2015,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2013,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2014,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2023,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2010,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2012,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2011,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2018,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2021,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2020,EU_SDG_02_40,,,Arama,PT,Arama,0.0
2014,EU_SDG_02_40,,,Aramaio,PT,Aramaio,1.1
2016,EU_SDG_02_40,,,Aramaio,PT,Aramaio,2.5
2012,EU_SDG_02_40,,,Aramaio,PT,Aramaio,0.8
2018,EU_SDG_02_40,,,Aramaio,PT,Aramaio,2.2
2011,EU_SDG_02_40,,,Aramaio,PT,Aramaio,0.7
2020,EU_SDG_02_40,,,Aramaio,PT,Aramaio,2.5
2010,EU_SDG_02_40,,,Aramaio,PT,Aramaio,0.7
2013,EU_SDG_02_40,,,Aramaio,PT,Aramaio,0.8
2015,EU_SDG_02_40,,,Aramaio,PT,Aramaio,2.4
