Year,ServPub,Sexo,Territorio,Units,Value
2018,,,,PT,57.4
2017,,,,PT,57.4
2019,,,,PT,57.3
2013,,,,PT,40.2
2020,,,,PT,54.1
2023,,,,PT,56.8
2022,,,,PT,51.0
2015,,,,PT,46.3
2014,,,,PT,41.2
2016,,,,PT,50.4
2011,,,,PT,47.7
2012,,,,PT,50.3
2021,,,,PT,55.1
2022,,,ES211,PT,42.7
2017,,,ES211,PT,60.5
2019,,,ES211,PT,54.8
2016,,,ES211,PT,49.6
2021,,,ES211,PT,48.2
2023,,,ES211,PT,55.7
2020,,,ES211,PT,47.3
2018,,,ES211,PT,56.0
2022,,,ES213,PT,54.9
2018,,,ES213,PT,55.7
2017,,,ES213,PT,50.4
2020,,,ES213,PT,56.9
2016,,,ES213,PT,45.0
2021,,,ES213,PT,57.9
2019,,,ES213,PT,51.2
2023,,,ES213,PT,53.1
2017,,,ES212,PT,62.1
2019,,,ES212,PT,61.6
2022,,,ES212,PT,51.0
2018,,,ES212,PT,59.8
2023,,,ES212,PT,59.4
2021,,,ES212,PT,54.8
2016,,,ES212,PT,55.9
2020,,,ES212,PT,54.9
2022,,F,,PT,49.1
2017,,F,,PT,57.0
2016,,F,,PT,46.6
2021,,F,,PT,53.1
2023,,F,,PT,54.8
2019,,F,,PT,54.6
2018,,F,,PT,54.5
2020,,F,,PT,50.2
2017,,F,ES211,PT,56.2
2020,,F,ES211,PT,44.6
2021,,F,ES211,PT,32.2
2018,,F,ES211,PT,58.0
2023,,F,ES211,PT,56.8
2022,,F,ES211,PT,41.2
2019,,F,ES211,PT,52.2
2016,,F,ES211,PT,48.0
2022,,F,ES213,PT,54.7
2019,,F,ES213,PT,45.0
2017,,F,ES213,PT,47.6
2021,,F,ES213,PT,55.5
2018,,F,ES213,PT,49.1
2016,,F,ES213,PT,36.8
2023,,F,ES213,PT,48.4
2020,,F,ES213,PT,52.2
2020,,F,ES212,PT,51.6
2023,,F,ES212,PT,58.6
2017,,F,ES212,PT,67.3
2022,,F,ES212,PT,47.6
2018,,F,ES212,PT,58.5
2021,,F,ES212,PT,54.0
2019,,F,ES212,PT,61.4
2016,,F,ES212,PT,55.2
2022,,M,,PT,52.8
2017,,M,,PT,57.8
2023,,M,,PT,59.0
2021,,M,,PT,57.5
2016,,M,,PT,54.6
2018,,M,,PT,59.9
2020,,M,,PT,58.3
2019,,M,,PT,60.3
2021,,M,ES211,PT,57.9
2016,,M,ES211,PT,51.1
2023,,M,ES211,PT,55.0
2022,,M,ES211,PT,44.4
2019,,M,ES211,PT,56.8
2017,,M,ES211,PT,63.9
2018,,M,ES211,PT,53.8
2020,,M,ES211,PT,51.1
2016,,M,ES213,PT,53.7
2022,,M,ES213,PT,55.8
2017,,M,ES213,PT,54.0
2020,,M,ES213,PT,61.0
2018,,M,ES213,PT,60.8
2023,,M,ES213,PT,60.0
2019,,M,ES213,PT,59.0
2021,,M,ES213,PT,61.3
2020,,M,ES212,PT,58.6
2021,,M,ES212,PT,55.6
2017,,M,ES212,PT,57.4
2022,,M,ES212,PT,53.7
2018,,M,ES212,PT,61.1
2023,,M,ES212,PT,60.5
2019,,M,ES212,PT,62.0
2016,,M,ES212,PT,56.9
2018,EU_PSR_SATIS_EDU,,,PT,70.9
2013,EU_PSR_SATIS_EDU,,,PT,45.5
2016,EU_PSR_SATIS_EDU,,,PT,60.0
2023,EU_PSR_SATIS_EDU,,,PT,65.3
2022,EU_PSR_SATIS_EDU,,,PT,60.9
2020,EU_PSR_SATIS_EDU,,,PT,56.5
2015,EU_PSR_SATIS_EDU,,,PT,59.4
2014,EU_PSR_SATIS_EDU,,,PT,54.0
2012,EU_PSR_SATIS_EDU,,,PT,66.0
2019,EU_PSR_SATIS_EDU,,,PT,72.2
2011,EU_PSR_SATIS_EDU,,,PT,66.7
2021,EU_PSR_SATIS_EDU,,,PT,54.4
2017,EU_PSR_SATIS_EDU,,,PT,69.5
2020,EU_PSR_SATIS_EDU,,ES211,PT,33.3
2017,EU_PSR_SATIS_EDU,,ES211,PT,60.0
2018,EU_PSR_SATIS_EDU,,ES211,PT,76.5
2021,EU_PSR_SATIS_EDU,,ES211,PT,61.2
2016,EU_PSR_SATIS_EDU,,ES211,PT,77.8
2023,EU_PSR_SATIS_EDU,,ES211,PT,57.0
2019,EU_PSR_SATIS_EDU,,ES211,PT,41.7
2022,EU_PSR_SATIS_EDU,,ES211,PT,42.0
2019,EU_PSR_SATIS_EDU,,ES213,PT,69.0
2023,EU_PSR_SATIS_EDU,,ES213,PT,66.2
2017,EU_PSR_SATIS_EDU,,ES213,PT,72.2
2021,EU_PSR_SATIS_EDU,,ES213,PT,53.2
2018,EU_PSR_SATIS_EDU,,ES213,PT,58.3
2016,EU_PSR_SATIS_EDU,,ES213,PT,48.8
2022,EU_PSR_SATIS_EDU,,ES213,PT,63.9
2020,EU_PSR_SATIS_EDU,,ES213,PT,58.8
2017,EU_PSR_SATIS_EDU,,ES212,PT,72.7
2018,EU_PSR_SATIS_EDU,,ES212,PT,82.2
2016,EU_PSR_SATIS_EDU,,ES212,PT,63.6
2022,EU_PSR_SATIS_EDU,,ES212,PT,64.4
2019,EU_PSR_SATIS_EDU,,ES212,PT,80.3
2023,EU_PSR_SATIS_EDU,,ES212,PT,67.7
2020,EU_PSR_SATIS_EDU,,ES212,PT,66.0
2021,EU_PSR_SATIS_EDU,,ES212,PT,53.9
2022,EU_PSR_SATIS_EDU,F,,PT,63.0
