Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2020,EU_XPD_LOCALGBPC,,,ES01016,PT,ES01016,94.45
2022,EU_XPD_LOCALGBPC,,,ES01016,PT,ES01016,135.27
2015,EU_XPD_LOCALGBPC,,,ES01016,PT,ES01016,63.08
2014,EU_XPD_LOCALGBPC,,,ES01016,PT,ES01016,93.89
2016,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,110.0
2017,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,127.06
2011,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,175.98
2023,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,94.33
2015,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,82.64
2014,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,112.88
2020,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,86.15
2022,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,105.24
2021,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,98.65
2018,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,105.29
2012,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,129.27
2010,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,107.28
2013,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,111.4
2019,EU_XPD_LOCALGBPC,,,ES48018,PT,ES48018,86.63
2013,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,99.85
2018,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,113.0
2019,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,106.49
2021,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,101.27
2010,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,123.7
2014,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,108.0
2015,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,107.56
2017,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,105.5
2012,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,120.03
2016,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,132.8
2020,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,87.79
2022,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,114.84
2023,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,122.15
2011,EU_XPD_LOCALGBPC,,,ES48019,PT,ES48019,122.79
2010,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,141.45
2018,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,87.1
2017,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,107.06
2020,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,102.84
2014,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,120.09
2023,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,109.11
2019,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,98.4
2021,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,105.04
2016,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,114.11
2012,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,111.68
2011,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,97.94
2022,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,115.21
2015,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,91.34
2013,EU_XPD_LOCALGBPC,,,ES20023,PT,ES20023,105.12
2020,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,131.5
2019,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,102.17
2021,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,112.83
2017,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,94.93
2016,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,105.52
2015,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,111.35
2022,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,103.72
2013,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,101.41
2010,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,117.15
2018,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,97.47
2023,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,111.85
2012,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,100.37
2011,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,100.72
2014,EU_XPD_LOCALGBPC,,,ES20024,PT,ES20024,108.13
2014,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,94.99
2019,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,98.36
2011,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,100.79
2023,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,98.84
2010,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,110.75
2012,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,95.22
2016,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,90.45
2020,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,93.3
2022,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,97.74
2021,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,97.02
2018,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,96.23
2017,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,97.45
2015,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,93.92
2013,EU_XPD_LOCALGBPC,,,ES48020,PT,ES48020,96.15
2020,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,89.31
2012,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,123.19
2021,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,89.24
2019,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,116.73
2014,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,105.43
2013,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,110.35
2011,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,98.99
2015,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,108.34
2023,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,100.02
2010,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,116.58
2018,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,84.45
2022,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,115.86
2017,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,97.68
2016,EU_XPD_LOCALGBPC,,,ES48021,PT,ES48021,109.85
2017,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,111.51
2011,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,105.63
2021,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,64.37
2010,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,150.71
2012,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,109.81
2016,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,76.41
2022,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,149.25
2015,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,103.57
2013,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,122.18
2020,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,71.72
2014,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,100.86
2019,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,79.52
2018,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,76.97
2023,EU_XPD_LOCALGBPC,,,ES01017,PT,ES01017,139.9
2013,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,112.12
2017,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,103.32
2014,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,119.53
2023,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,115.27
2021,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,102.16
2019,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,122.16
2011,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,122.59
2012,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,99.37
2015,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,132.72
2020,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,106.14
2016,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,97.36
2018,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,108.96
2010,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,143.17
2022,EU_XPD_LOCALGBPC,,,ES20029,PT,ES20029,114.51
2014,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,96.01
2017,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,107.33
2020,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,94.67
2016,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,110.02
2018,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,105.61
2011,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,126.78
2022,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,114.9
2013,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,99.45
2012,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,101.51
2019,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,105.86
2023,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,105.88
2021,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,118.58
2015,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,77.01
2010,EU_XPD_LOCALGBPC,,,ES48901,PT,ES48901,128.66
2021,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,107.41
2022,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,137.66
2018,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,111.21
2014,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,171.1
2015,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,120.53
2023,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,139.25
2011,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,135.42
2010,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,131.49
2019,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,104.45
2012,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,145.63
2016,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,121.67
2020,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,98.75
2017,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,122.28
2013,EU_XPD_LOCALGBPC,,,ES48026,PT,ES48026,149.53
2012,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,82.74
2022,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,98.72
2013,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,92.92
2017,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,86.02
2010,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,106.28
2018,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,88.71
2015,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,79.65
2016,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,100.63
2019,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,96.3
2023,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,95.68
2021,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,109.13
2011,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,100.52
2020,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,96.1
2014,EU_XPD_LOCALGBPC,,,ES20069,PT,ES20069,80.48
2012,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,86.02
2015,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,98.01
2018,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,103.45
2019,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,102.06
2021,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,94.21
2010,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,100.66
2017,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,105.87
2023,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,103.15
2011,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,101.38
2014,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,108.37
2016,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,106.15
2020,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,88.17
2022,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,97.81
2013,EU_XPD_LOCALGBPC,,,ES48027,PT,ES48027,111.03
2019,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,131.72
2016,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,135.86
2021,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,136.52
2011,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,138.58
2015,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,92.23
2013,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,145.37
2010,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,258.18
2012,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,248.61
2014,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,111.05
2018,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,124.02
2020,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,119.32
2022,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,168.14
2017,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,134.64
2023,EU_XPD_LOCALGBPC,,,ES48028,PT,ES48028,177.23
2017,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,86.96
2013,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,98.83
2021,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,86.91
2022,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,97.79
2020,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,85.33
2023,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,89.92
2016,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,88.93
2019,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,96.52
2012,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,94.05
2011,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,116.87
2014,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,95.38
2018,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,93.9
2010,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,109.92
2015,EU_XPD_LOCALGBPC,,,ES20030,PT,ES20030,92.41
2014,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,88.99
2023,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,122.2
2019,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,120.92
2021,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,115.57
2012,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,128.17
2016,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,123.13
2020,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,110.8
2022,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,197.1
2017,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,122.49
2010,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,203.24
2013,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,125.04
2015,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,92.8
2011,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,97.55
2018,EU_XPD_LOCALGBPC,,,ES48031,PT,ES48031,126.29
2017,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,197.71
2019,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,91.53
2010,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,92.49
2012,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,116.75
2014,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,105.57
2018,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,96.61
2020,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,69.13
2022,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,110.81
2021,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,98.19
2013,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,93.02
2011,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,100.67
2016,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,105.31
2015,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,115.64
2023,EU_XPD_LOCALGBPC,,,ES01021,PT,ES01021,96.11
2015,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,103.23
2022,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,93.56
2014,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,91.07
2020,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,106.3
2019,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,185.29
2023,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,94.18
2021,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,93.2
2011,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,105.35
2012,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,108.02
2016,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,64.85
2013,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,104.17
2017,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,121.68
2018,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,97.63
2010,EU_XPD_LOCALGBPC,,,ES01022,PT,ES01022,147.24
2014,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,102.07
2016,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,94.81
2015,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,87.31
2012,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,98.84
2022,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,127.23
2019,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,67.26
2018,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,84.66
2013,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,105.13
2017,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,92.84
2010,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,93.73
2011,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,102.88
2021,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,89.47
2020,EU_XPD_LOCALGBPC,,,ES20031,PT,ES20031,72.63
2023,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,97.47
2022,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,110.09
2010,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,123.2
2014,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,93.24
2021,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,98.99
2015,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,87.23
2020,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,86.55
2017,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,96.07
2016,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,96.93
2019,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,110.82
2011,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,134.4
2012,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,105.33
2013,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,121.36
2018,EU_XPD_LOCALGBPC,,,ES20033,PT,ES20033,106.27
2017,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,88.73
2012,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,93.53
2016,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,92.31
2013,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,103.74
2018,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,91.01
2010,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,116.74
2011,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,105.05
2022,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,94.94
2015,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,105.67
2019,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,100.26
2014,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,99.23
2020,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,88.58
2021,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,103.4
2023,EU_XPD_LOCALGBPC,,,ES20032,PT,ES20032,101.76
2014,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,116.73
2015,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,103.49
2011,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,115.58
2019,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,103.31
2021,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,113.37
2013,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,108.58
2010,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,133.83
2012,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,116.63
2018,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,94.5
2020,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,87.52
2022,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,103.43
2016,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,100.42
2023,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,119.15
2017,EU_XPD_LOCALGBPC,,,ES48032,PT,ES48032,100.65
2019,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,126.93
2017,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,249.81
2011,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,99.4
2022,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,99.72
2012,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,348.88
2015,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,116.26
2018,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,134.97
2020,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,95.53
2023,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,85.52
2021,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,111.0
2014,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,124.95
2016,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,109.16
2010,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,76.25
2013,EU_XPD_LOCALGBPC,,,ES01023,PT,ES01023,101.06
2019,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,112.78
2021,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,103.53
2022,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,101.16
2023,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,103.88
2020,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,100.55
2016,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,100.49
2014,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,94.66
2012,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,95.21
2010,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,99.36
2018,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,104.93
2011,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,93.24
2017,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,99.1
2015,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,103.09
2013,EU_XPD_LOCALGBPC,,,ES48902,PT,ES48902,98.29
2010,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,150.15
2019,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,122.71
2018,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,106.18
2013,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,100.33
2011,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,73.79
2023,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,67.96
2015,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,114.14
2021,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,91.05
2017,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,96.2
2012,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,83.72
2014,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,86.12
2016,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,77.59
2020,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,90.69
2022,EU_XPD_LOCALGBPC,,,ES48033,PT,ES48033,57.88
2011,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,105.93
2010,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,123.19
2014,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,112.56
2015,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,112.34
2013,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,113.3
2021,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,102.33
2017,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,101.28
2019,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,95.09
2012,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,115.02
2016,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,108.0
2018,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,92.73
2020,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,101.23
2022,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,108.19
2023,EU_XPD_LOCALGBPC,,,ES48034,PT,ES48034,102.41
2018,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,102.31
2021,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,92.68
2013,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,96.96
2014,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,93.03
2011,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,97.69
2022,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,101.07
2015,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,96.23
2016,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,90.42
2020,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,97.61
2010,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,91.93
2012,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,94.03
2019,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,100.0
2017,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,91.0
2023,EU_XPD_LOCALGBPC,,,ES20067,PT,ES20067,102.04
